x,computed,exact,rel_error,log10(error)
0,0.0943558,-0.00999523,10.4401,1.0187
0.01,0.178712,0.085163,1.09846,0.0407857
0.02,0.254019,0.16127,0.575114,-0.240246
0.03,0.321139,0.229183,0.401233,-0.396603
0.04,0.380851,0.289682,0.314722,-0.502073
0.05,0.43386,0.343472,0.26316,-0.57978
0.06,0.480803,0.391191,0.229075,-0.640023
0.07,0.522258,0.433418,0.204976,-0.688296
0.08,0.558748,0.470675,0.187121,-0.727878
0.09,0.590744,0.503434,0.173428,-0.760881
0.1,0.618674,0.532125,0.162648,-0.78875
0.11,0.642926,0.557134,0.153988,-0.812512
0.12,0.663849,0.578811,0.146918,-0.832925
0.13,0.68176,0.597474,0.14107,-0.850564
0.14,0.696946,0.613409,0.136183,-0.865876
0.15,0.709665,0.626877,0.132065,-0.879211
0.16,0.720154,0.638111,0.128572,-0.890855
0.17,0.728623,0.647324,0.125592,-0.901037
0.18,0.735266,0.654709,0.123042,-0.909948
0.19,0.740255,0.66044,0.120852,-0.917747
0.2,0.743749,0.664674,0.118969,-0.924566
0.21,0.74589,0.667553,0.117349,-0.93052
0.22,0.746806,0.669207,0.115957,-0.935704
0.23,0.746614,0.669752,0.114762,-0.9402
0.24,0.745419,0.669293,0.113742,-0.944081
0.25,0.743318,0.667926,0.112874,-0.947408
0.26,0.740395,0.665738,0.112141,-0.950235
0.27,0.73673,0.662807,0.11153,-0.952609
0.28,0.732392,0.659203,0.111027,-0.95457
0.29,0.727447,0.65499,0.110623,-0.956156
0.3,0.721951,0.650227,0.110307,-0.957398
0.31,0.715957,0.644965,0.110072,-0.958325
0.32,0.709513,0.639252,0.109911,-0.958959
0.33,0.702661,0.633132,0.109818,-0.959325
0.34,0.695441,0.626642,0.109789,-0.95944
0.35,0.687886,0.619819,0.109819,-0.959322
0.36,0.68003,0.612693,0.109904,-0.958985
0.37,0.671901,0.605293,0.110042,-0.958443
0.38,0.663524,0.597646,0.110228,-0.957708
0.39,0.654923,0.589776,0.110462,-0.956788
0.4,0.646121,0.581703,0.110741,-0.955693
0.41,0.637135,0.573446,0.111063,-0.954431
0.42,0.627983,0.565023,0.111428,-0.953007
0.43,0.618681,0.556451,0.111834,-0.951426
0.44,0.609244,0.547743,0.112281,-0.949694
0.45,0.599683,0.538911,0.112768,-0.947813
0.46,0.590012,0.529969,0.113296,-0.945787
0.47,0.58024,0.520926,0.113863,-0.943616
0.48,0.570378,0.511792,0.114472,-0.941302
0.49,0.560433,0.502576,0.115121,-0.938846
0.5,0.550413,0.493285,0.115812,-0.936246
0.51,0.540326,0.483926,0.116546,-0.933501
0.52,0.530178,0.474507,0.117325,-0.930611
0.53,0.519975,0.465032,0.118149,-0.927571
0.54,0.509722,0.455508,0.11902,-0.92438
0.55,0.499424,0.445938,0.119941,-0.921033
0.56,0.489085,0.436328,0.120913,-0.917525
0.57,0.478709,0.42668,0.121941,-0.913852
0.58,0.4683,0.416999,0.123025,-0.910006
0.59,0.45786,0.407287,0.12417,-0.905982
0.6,0.447393,0.397548,0.125381,-0.90177
0.61,0.436901,0.387785,0.12666,-0.897362
0.62,0.426387,0.377999,0.128012,-0.892748
0.63,0.415853,0.368192,0.129444,-0.887918
0.64,0.4053,0.358367,0.130961,-0.882858
0.65,0.39473,0.348526,0.13257,-0.877555
0.66,0.384146,0.33867,0.134278,-0.871995
0.67,0.373547,0.3288,0.136094,-0.866159
0.68,0.362937,0.318917,0.138029,-0.860031
0.69,0.352315,0.309024,0.140092,-0.853588
0.7,0.341683,0.29912,0.142296,-0.846808
0.71,0.331043,0.289207,0.144656,-0.839664
0.72,0.320393,0.279286,0.147187,-0.832129
0.73,0.309737,0.269358,0.14991,-0.82417
0.74,0.299074,0.259422,0.152844,-0.81575
0.75,0.288404,0.249481,0.156017,-0.806829
0.76,0.277729,0.239534,0.159456,-0.797359
0.77,0.267049,0.229582,0.163197,-0.787288
0.78,0.256365,0.219626,0.167281,-0.776555
0.79,0.245676,0.209665,0.171755,-0.76509
0.8,0.234984,0.199701,0.176679,-0.752814
0.81,0.224288,0.189733,0.182124,-0.739632
0.82,0.21359,0.179763,0.188176,-0.725436
0.83,0.202888,0.169789,0.194942,-0.710096
0.84,0.192184,0.159813,0.202555,-0.693457
0.85,0.181478,0.149835,0.211185,-0.675337
0.86,0.17077,0.139855,0.22105,-0.65551
0.87,0.16006,0.129873,0.232434,-0.6337
0.88,0.149348,0.119889,0.245717,-0.609564
0.89,0.138635,0.109904,0.261418,-0.582665
0.9,0.12792,0.0999175,0.28026,-0.552439
0.91,0.117204,0.0899296,0.303291,-0.518141
0.92,0.106488,0.0799407,0.332081,-0.478755
0.93,0.0957696,0.0699508,0.3691,-0.432856
0.94,0.0850508,0.05996,0.41846,-0.378347
0.95,0.0743311,0.0499683,0.487565,-0.311967
0.96,0.0636107,0.0399759,0.591227,-0.228246
0.97,0.0528895,0.0299828,0.763999,-0.116907
0.98,0.0421678,0.019989,1.10955,0.0451458
0.99,0.0314456,0.00999477,2.1462,0.33167
1.01,0.0207228,0,inf,inf
