x,computed,exact,rel_error,log10(error)
0,0,0,nan,nan
0.001,0.00895114,0.00895021,0.000103228,-3.9862
0.002,0.0178033,0.0178014,0.000103848,-3.9836
0.003,0.0265574,0.0265546,0.000104472,-3.981
0.004,0.0352144,0.0352107,0.000105098,-3.97841
0.005,0.0437754,0.0437708,0.000105726,-3.97582
0.006,0.0522413,0.0522357,0.000106358,-3.97323
0.007,0.060613,0.0606065,0.000106992,-3.97065
0.008,0.0688914,0.068884,0.000107629,-3.96807
0.009,0.0770776,0.0770692,0.000108269,-3.9655
0.01,0.0851723,0.085163,0.000108912,-3.96292
0.011,0.0931766,0.0931664,0.000109557,-3.96036
0.012,0.101091,0.10108,0.000110206,-3.9578
0.013,0.108917,0.108905,0.000110857,-3.95524
0.014,0.116655,0.116642,0.000111511,-3.95268
0.015,0.124307,0.124293,0.000112168,-3.95013
0.016,0.131872,0.131857,0.000112828,-3.94758
0.017,0.139352,0.139336,0.00011349,-3.94504
0.018,0.146747,0.146731,0.000114156,-3.9425
0.019,0.154059,0.154042,0.000114824,-3.93997
0.02,0.161289,0.16127,0.000115496,-3.93743
0.021,0.168436,0.168417,0.00011617,-3.93491
0.022,0.175503,0.175482,0.000116847,-3.93238
0.023,0.182489,0.182467,0.000117527,-3.92986
0.024,0.189396,0.189373,0.00011821,-3.92735
0.025,0.196224,0.1962,0.000118896,-3.92483
0.026,0.202974,0.20295,0.000119585,-3.92232
0.027,0.209647,0.209622,0.000120276,-3.91982
0.028,0.216244,0.216218,0.000120971,-3.91732
0.029,0.222765,0.222738,0.000121669,-3.91482
0.03,0.229211,0.229183,0.00012237,-3.91233
0.031,0.235583,0.235554,0.000123073,-3.90984
0.032,0.241882,0.241852,0.00012378,-3.90735
0.033,0.248109,0.248078,0.000124489,-3.90487
0.034,0.254263,0.254231,0.000125202,-3.90239
0.035,0.260346,0.260313,0.000125918,-3.89991
0.036,0.266359,0.266325,0.000126636,-3.89744
0.037,0.272302,0.272267,0.000127358,-3.89497
0.038,0.278176,0.27814,0.000128083,-3.89251
0.039,0.283981,0.283945,0.000128811,-3.89005
0.04,0.289719,0.289682,0.000129542,-3.88759
0.041,0.29539,0.295352,0.000130276,-3.88514
0.042,0.300995,0.300955,0.000131013,-3.88269
0.043,0.306533,0.306493,0.000131753,-3.88024
0.044,0.312007,0.311966,0.000132496,-3.8778
0.045,0.317416,0.317374,0.000133242,-3.87536
0.046,0.322762,0.322718,0.000133991,-3.87292
0.047,0.328044,0.328,0.000134744,-3.87049
0.048,0.333264,0.333219,0.0001355,-3.86806
0.049,0.338422,0.338376,0.000136258,-3.86564
0.05,0.343519,0.343472,0.00013702,-3.86322
0.051,0.348555,0.348507,0.000137785,-3.8608
0.052,0.353531,0.353482,0.000138553,-3.85838
0.053,0.358447,0.358397,0.000139325,-3.85597
0.054,0.363305,0.363254,0.000140099,-3.85356
0.055,0.368105,0.368053,0.000140877,-3.85116
0.056,0.372846,0.372793,0.000141658,-3.84876
0.057,0.377531,0.377477,0.000142442,-3.84636
0.058,0.382159,0.382104,0.000143229,-3.84397
0.059,0.386731,0.386675,0.00014402,-3.84158
0.06,0.391248,0.391191,0.000144814,-3.83919
0.061,0.39571,0.395652,0.000145611,-3.83681
0.062,0.400117,0.400058,0.000146411,-3.83443
0.063,0.404471,0.404411,0.000147215,-3.83205
0.064,0.408771,0.40871,0.000148021,-3.82968
0.065,0.413019,0.412957,0.000148831,-3.82731
0.066,0.417214,0.417152,0.000149645,-3.82494
0.067,0.421358,0.421294,0.000150461,-3.82258
0.068,0.42545,0.425386,0.000151281,-3.82022
0.069,0.429492,0.429427,0.000152104,-3.81786
0.07,0.433484,0.433418,0.000152931,-3.81551
0.071,0.437426,0.437359,0.000153761,-3.81315
0.072,0.441319,0.441251,0.000154594,-3.81081
0.073,0.445164,0.445094,0.00015543,-3.80846
0.074,0.44896,0.448889,0.00015627,-3.80612
0.075,0.452708,0.452637,0.000157113,-3.80379
0.076,0.456409,0.456337,0.00015796,-3.80145
0.077,0.460063,0.45999,0.00015881,-3.79912
0.078,0.463672,0.463598,0.000159663,-3.7968
0.079,0.467234,0.467159,0.00016052,-3.79447
0.08,0.470751,0.470675,0.00016138,-3.79215
0.081,0.474223,0.474146,0.000162243,-3.78983
