x,computed,exact,rel_error,log10(error)
0,0.0943022,0,inf,inf
0.01,0.178604,0.085163,1.09721,0.0402884
0.02,0.253858,0.16127,0.574119,-0.240998
0.03,0.320925,0.229183,0.400299,-0.397616
0.04,0.380583,0.289682,0.313798,-0.50335
0.05,0.433538,0.343472,0.262225,-0.581326
0.06,0.480428,0.391191,0.228117,-0.641843
0.07,0.52183,0.433418,0.203988,-0.690394
0.08,0.558266,0.470675,0.186097,-0.73026
0.09,0.590209,0.503434,0.172364,-0.763552
0.1,0.618086,0.532125,0.161542,-0.791715
0.11,0.642284,0.557134,0.152835,-0.815776
0.12,0.663153,0.578811,0.145716,-0.836494
0.13,0.681011,0.597474,0.139816,-0.854443
0.14,0.696143,0.613409,0.134875,-0.87007
0.15,0.708809,0.626877,0.130699,-0.883727
0.16,0.719244,0.638111,0.127146,-0.895699
0.17,0.72766,0.647324,0.124104,-0.906215
0.18,0.734249,0.654709,0.121488,-0.915466
0.19,0.739185,0.66044,0.119231,-0.923611
0.2,0.742625,0.664674,0.117278,-0.930784
0.21,0.744712,0.667553,0.115585,-0.937098
0.22,0.745575,0.669207,0.114117,-0.942649
0.23,0.745329,0.669752,0.112844,-0.94752
0.24,0.744081,0.669293,0.111742,-0.951783
0.25,0.741926,0.667926,0.11079,-0.9555
0.26,0.73895,0.665738,0.10997,-0.958725
0.27,0.735231,0.662807,0.109269,-0.961505
0.28,0.73084,0.659203,0.108672,-0.963881
0.29,0.725841,0.65499,0.108171,-0.96589
0.3,0.720291,0.650227,0.107755,-0.967564
0.31,0.714244,0.644965,0.107416,-0.968932
0.32,0.707747,0.639252,0.107148,-0.970018
0.33,0.700841,0.633132,0.106944,-0.970844
0.34,0.693567,0.626642,0.1068,-0.971431
0.35,0.685959,0.619819,0.10671,-0.971794
0.36,0.67805,0.612693,0.106672,-0.971951
0.37,0.669867,0.605293,0.106681,-0.971913
0.38,0.661436,0.597646,0.106735,-0.971693
0.39,0.652782,0.589776,0.106831,-0.971302
0.4,0.643926,0.581703,0.106968,-0.970748
0.41,0.634886,0.573446,0.107142,-0.970039
0.42,0.625681,0.565023,0.107354,-0.969182
0.43,0.616326,0.556451,0.107601,-0.968183
0.44,0.606835,0.547743,0.107883,-0.967046
0.45,0.597221,0.538911,0.108199,-0.965777
0.46,0.587496,0.529969,0.108548,-0.964377
0.47,0.577671,0.520926,0.108931,-0.962849
0.48,0.567755,0.511792,0.109347,-0.961195
0.49,0.557756,0.502576,0.109795,-0.959416
0.5,0.547683,0.493285,0.110278,-0.957512
0.51,0.537543,0.483926,0.110794,-0.955482
0.52,0.527341,0.474507,0.111346,-0.953326
0.53,0.517085,0.465032,0.111933,-0.951043
0.54,0.506778,0.455508,0.112557,-0.948629
0.55,0.496427,0.445938,0.113219,-0.946082
0.56,0.486034,0.436328,0.113921,-0.943398
0.57,0.475605,0.42668,0.114664,-0.940573
0.58,0.465142,0.416999,0.115451,-0.937601
0.59,0.454649,0.407287,0.116285,-0.934477
0.6,0.444128,0.397548,0.117167,-0.931195
0.61,0.433583,0.387785,0.118101,-0.927746
0.62,0.423015,0.377999,0.119091,-0.924122
0.63,0.412427,0.368192,0.120139,-0.920314
0.64,0.40182,0.358367,0.121252,-0.916311
0.65,0.391197,0.348526,0.122433,-0.912102
0.66,0.380559,0.33867,0.123688,-0.907672
0.67,0.369907,0.3288,0.125024,-0.903007
0.68,0.359243,0.318917,0.126447,-0.898091
0.69,0.348568,0.309024,0.127966,-0.892905
0.7,0.337883,0.29912,0.12959,-0.887429
0.71,0.327188,0.289207,0.131329,-0.881639
0.72,0.316486,0.279286,0.133196,-0.875509
0.73,0.305776,0.269358,0.135204,-0.869011
0.74,0.295059,0.259422,0.137369,-0.862112
0.75,0.284336,0.249481,0.13971,-0.854772
0.76,0.273607,0.239534,0.142249,-0.846952
0.77,0.262874,0.229582,0.145011,-0.8386
0.78,0.252136,0.219626,0.148026,-0.829662
0.79,0.241394,0.209665,0.15133,-0.820074
0.8,0.230648,0.199701,0.154968,-0.809759
0.81,0.219899,0.189733,0.15899,-0.798631
0.82,0.209147,0.179763,0.16346,-0.786588
0.83,0.198392,0.169789,0.168459,-0.773506
0.84,0.187634,0.159813,0.174084,-0.759241
0.85,0.176875,0.149835,0.180461,-0.743617
0.86,0.166113,0.139855,0.187751,-0.726419
0.87,0.155349,0.129873,0.196163,-0.707382
0.88,0.144584,0.119889,0.20598,-0.686175
0.89,0.133817,0.109904,0.217583,-0.662376
0.9,0.123049,0.0999175,0.231508,-0.635434
0.91,0.11228,0.0899296,0.248529,-0.604623
0.92,0.101509,0.0799407,0.269807,-0.568946
0.93,0.0907378,0.0699508,0.297167,-0.527
0.94,0.0799655,0.05996,0.333648,-0.476712
0.95,0.0691923,0.0499683,0.384724,-0.414851
0.96,0.0584183,0.0399759,0.461339,-0.335979
0.97,0.0476437,0.0299828,0.589035,-0.229859
0.98,0.0368684,0.019989,0.844431,-0.0734357
0.99,0.0260926,0.00999477,1.61063,0.206995
1,0.0153163,5.88857e-18,2.60102e+15,15.4151
