x,computed,exact,rel_error,log10(error)
0,0,0,nan,nan
0.0001,0.000899505,0.000899505,8.333e-08,-7.0792
0.0002,0.00179801,0.00179801,8.33301e-08,-7.0792
0.0003,0.00269552,0.00269552,8.333e-08,-7.0792
0.0004,0.00359203,0.00359203,8.333e-08,-7.0792
0.0005,0.00448754,0.00448754,8.333e-08,-7.0792
0.0006,0.00538206,0.00538206,8.333e-08,-7.0792
0.0007,0.00627559,0.00627559,8.333e-08,-7.0792
0.0008,0.00716812,0.00716812,8.333e-08,-7.0792
0.0009,0.00805966,0.00805966,8.333e-08,-7.0792
0.001,0.00895021,0.00895021,8.333e-08,-7.0792
0.0011,0.00983977,0.00983977,8.333e-08,-7.0792
0.0012,0.0107283,0.0107283,8.333e-08,-7.0792
0.0013,0.0116159,0.0116159,8.333e-08,-7.0792
0.0014,0.0125025,0.0125025,8.333e-08,-7.0792
0.0015,0.0133881,0.0133881,8.333e-08,-7.0792
0.0016,0.0142728,0.0142728,8.333e-08,-7.0792
0.0017,0.0151564,0.0151564,8.333e-08,-7.0792
0.0018,0.016039,0.016039,8.333e-08,-7.0792
0.0019,0.0169207,0.0169207,8.333e-08,-7.0792
0.002,0.0178014,0.0178014,8.333e-08,-7.0792
0.0021,0.0186811,0.0186811,8.333e-08,-7.0792
0.0022,0.0195599,0.0195599,8.333e-08,-7.0792
0.0023,0.0204376,0.0204376,8.333e-08,-7.0792
0.0024,0.0213144,0.0213144,8.333e-08,-7.0792
0.0025,0.0221902,0.0221902,8.333e-08,-7.0792
0.0026,0.023065,0.023065,8.333e-08,-7.0792
0.0027,0.0239389,0.0239389,8.333e-08,-7.0792
0.0028,0.0248118,0.0248118,8.333e-08,-7.0792
0.0029,0.0256837,0.0256837,8.333e-08,-7.0792
0.003,0.0265546,0.0265546,8.333e-08,-7.0792
0.0031,0.0274246,0.0274246,8.333e-08,-7.0792
0.0032,0.0282936,0.0282936,8.333e-08,-7.0792
0.0033,0.0291616,0.0291616,8.333e-08,-7.0792
0.0034,0.0300286,0.0300286,8.333e-08,-7.0792
0.0035,0.0308947,0.0308947,8.333e-08,-7.0792
0.0036,0.0317599,0.0317599,8.333e-08,-7.0792
0.0037,0.032624,0.032624,8.333e-08,-7.0792
0.0038,0.0334872,0.0334872,8.333e-08,-7.0792
0.0039,0.0343495,0.0343495,8.333e-08,-7.0792
0.004,0.0352107,0.0352107,8.333e-08,-7.0792
0.0041,0.0360711,0.0360711,8.333e-08,-7.0792
0.0042,0.0369304,0.0369304,8.333e-08,-7.0792
0.0043,0.0377888,0.0377888,8.333e-08,-7.0792
0.0044,0.0386462,0.0386462,8.333e-08,-7.0792
0.0045,0.0395027,0.0395027,8.333e-08,-7.0792
0.0046,0.0403582,0.0403582,8.33299e-08,-7.0792
0.0047,0.0412128,0.0412128,8.33299e-08,-7.0792
0.0048,0.0420664,0.0420664,8.33299e-08,-7.0792
0.0049,0.0429191,0.0429191,8.33299e-08,-7.0792
