rho,eigenvals,analytic_eigenvals,eigenvec,analytic_eigenvec
0.01,-8284.27,9.86821,1.18921,0.0314098
0.02,10.2756,39.4631,0.492586,0.0627887
0.03,41.0904,88.7555,0.204036,0.0941055
0.04,92.4091,157.697,0.0845143,0.12533
0.05,164.173,246.219,0.035007,0.15643
0.06,256.299,354.234,0.0145004,0.187376
0.07,368.682,481.636,0.00600625,0.218137
0.08,501.195,628.3,0.00248787,0.248683
0.09,653.687,794.08,0.00103051,0.278983
0.1,825.987,978.812,0.000426851,0.309008
0.11,1017.9,1182.32,0.000176807,0.338728
0.12,1229.22,1404.39,7.32361e-05,0.368114
0.13,1459.7,1644.81,3.03354e-05,0.397137
0.14,1709.1,1903.35,1.25653e-05,0.425768
0.15,1977.14,2179.74,5.20473e-06,0.453978
0.16,2263.53,2473.72,2.15587e-06,0.481741
0.17,2567.97,2785,8.9299e-07,0.509028
0.18,2890.11,3113.26,3.69889e-07,0.535813
0.19,3229.63,3458.19,1.53213e-07,0.562069
0.2,3586.16,3819.44,6.34628e-08,0.58777
0.21,3959.32,4196.66,2.62872e-08,0.612892
0.22,4348.73,4589.48,1.08885e-08,0.637408
0.23,4753.96,4997.5,4.51016e-09,0.661296
0.24,5174.6,5420.32,1.86817e-09,0.684531
0.25,5610.22,5857.54,7.73822e-10,0.70709
0.26,6060.35,6308.71,3.20528e-10,0.728952
0.27,6524.53,6773.39,1.32767e-10,0.750095
0.28,7002.29,7251.12,5.49938e-11,0.770497
0.29,7493.13,7741.43,2.27792e-11,0.790139
0.3,7996.55,8243.85,9.43544e-12,0.809001
0.31,8512.02,8757.86,3.9083e-12,0.827064
0.32,9039.03,9282.96,1.61888e-12,0.844312
0.33,9577.04,9818.65,6.70561e-13,0.860726
0.34,10125.5,10364.4,2.7775e-13,0.876292
0.35,10683.8,10919.6,1.15043e-13,0.890992
0.36,11251.5,11483.8,4.76551e-14,0.904813
0.37,11827.9,12056.4,1.97364e-14,0.917741
0.38,12412.4,12636.9,8.17786e-15,0.929764
0.39,13004.5,13224.6,3.38566e-15,0.940869
0.4,13603.6,13819,1.40422e-15,0.951045
0.41,14209.1,14419.4,5.83963e-16,0.960283
0.42,14820.2,15025.4,2.38883e-16,0.968573
0.43,15436.5,15636.4,8.65292e-17,0.975908
0.44,16057.3,16251.6,2.88313e-17,0.98228
0.45,16682,16870.5,1.72353e-17,0.987682
0.46,17309.9,17492.5,8.67514e-18,0.992109
0.47,17940.5,18117,6.63216e-18,0.995558
0.48,18573,18743.3,4.38433e-18,0.998024
0.49,19206.8,19370.9,9.69798e-18,0.999505
0.5,19841.3,19999.1,9.61244e-18,1
0.51,20475.9,20627.3,-7.48256e-19,0.999508
0.52,21109.9,21254.8,-2.36858e-18,0.99803
0.53,21742.7,21881.2,-2.28035e-18,0.995567
0.54,22373.7,22505.7,-2.89896e-18,0.992121
0.55,23002.1,23127.7,-4.09198e-18,0.987696
0.56,23627.4,23746.6,-5.56947e-18,0.982297
0.57,24249,24361.8,2.71746e-18,0.975928
0.58,24866.2,24972.8,5.01469e-18,0.968597
0.59,25478.4,25578.8,-2.32005e-18,0.960309
0.6,26085.1,26179.3,-2.71726e-18,0.951074
0.61,26685.5,26773.7,1.12997e-18,0.9409
0.62,27279,27361.4,7.80491e-19,0.929798
0.63,27865.2,27941.9,-4.03911e-18,0.917778
0.64,28443.4,28514.5,1.55696e-18,0.904852
0.65,29013,29078.7,5.28238e-18,0.891034
0.66,29573.5,29634,4.5752e-18,0.876336
0.67,30124.2,30179.8,4.49614e-18,0.860774
0.68,30664.8,30715.5,-1.97145e-18,0.844362
0.69,31194.5,31240.6,1.0912e-18,0.827117
0.7,31713,31754.7,-1.21528e-18,0.809055
0.71,32219.6,32257.1,-3.52353e-18,0.790195
0.72,32713.9,32747.5,-8.41423e-18,0.770556
0.73,33195.3,33225.2,-3.76156e-18,0.750156
0.74,33663.5,33689.9,-4.10649e-19,0.729016
0.75,34118,34141.2,-1.76042e-18,0.707156
0.76,34558.2,34578.4,-1.68578e-18,0.684598
0.77,34983.8,35001.3,8.57891e-19,0.661365
0.78,35394.4,35409.3,-7.61324e-20,0.63748
0.79,35789.6,35802.2,-1.20287e-18,0.612965
0.8,36168.9,36179.5,-2.10416e-18,0.587845
0.81,36532,36540.8,-4.38544e-18,0.562145
0.82,36878.6,36885.7,-7.05314e-19,0.535891
0.83,37208.4,37214.1,4.00239e-18,0.509108
0.84,37520.9,37525.4,4.90274e-19,0.481822
0.85,37816,37819.4,1.36828e-19,0.454061
0.86,38093.4,38095.9,-2.84489e-18,0.425851
0.87,38352.7,38354.5,-3.18805e-18,0.397222
0.88,38593.7,38594.9,-3.2039e-18,0.3682
0.89,38816.3,38817.1,-5.37354e-19,0.338816
0.9,39020.2,39020.6,8.54372e-19,0.309096
0.91,39205.3,39205.4,1.15047e-18,0.279072
0.92,39371.3,39371.2,4.36678e-18,0.248772
0.93,39518.1,39518,9.15649e-19,0.218227
0.94,39645.6,39645.4,-3.45506e-18,0.187467
0.95,39753.7,39753.5,-5.39815e-18,0.156521
0.96,39842.3,39842.1,2.6802e-18,0.125421
0.97,39911.2,39911.1,3.08219e-18,0.0941978
0.98,39960.5,39960.4,6.07608e-18,0.0628811
0.99,39990.1,39990.1,3.48245e-18,0.0315024
