rho,eigenvals,analytic_eigenvals,eigenvec
0.025,2.9998,3,0.00593704
0.05,6.99903,7,0.0118629
0.075,10.9978,11,0.0177666
0.1,15.0014,15,0.0236371
0.125,19.0658,19,0.0294633
0.15,23.4139,23,0.0352347
0.175,28.3729,27,0.0409404
0.2,34.1226,31,0.0465702
0.225,40.6955,35,0.0521138
0.25,48.0827,39,0.0575614
0.275,56.2723,43,0.0629033
0.3,65.2553,47,0.0681302
0.325,75.0248,51,0.0732332
0.35,85.5751,55,0.0782038
0.375,96.9018,59,0.0830337
0.4,109,63,0.0877153
0.425,121.867,67,0.0922411
0.45,135.498,71,0.0966045
0.475,149.889,75,0.100799
0.5,165.037,79,0.104819
0.525,180.936,83,0.108658
0.55,197.584,87,0.112313
0.575,214.976,91,0.115778
0.6,233.106,95,0.11905
0.625,251.972,99,0.122125
0.65,271.567,103,0.125002
0.675,291.888,107,0.127677
0.7,312.929,111,0.130149
0.725,334.684,115,0.132417
0.75,357.149,119,0.13448
0.775,380.317,123,0.136339
0.8,404.184,127,0.137992
0.825,428.742,131,0.139443
0.85,453.987,135,0.140691
0.875,479.911,139,0.141739
0.9,506.509,143,0.142589
0.925,533.773,147,0.143244
0.95,561.697,151,0.143707
0.975,590.275,155,0.143982
1,619.499,159,0.144072
1.025,649.361,163,0.143982
1.05,679.855,167,0.143717
1.075,710.973,171,0.143281
1.1,742.707,175,0.14268
1.125,775.049,179,0.141919
1.15,807.992,183,0.141005
1.175,841.527,187,0.139943
1.2,875.647,191,0.138739
1.225,910.342,195,0.1374
1.25,945.603,199,0.135933
1.275,981.424,203,0.134343
1.3,1017.79,207,0.132638
1.325,1054.7,211,0.130824
1.35,1092.15,215,0.128908
1.375,1130.11,219,0.126898
1.4,1168.59,223,0.124799
1.425,1207.57,227,0.12262
1.45,1247.04,231,0.120366
1.475,1287,235,0.118045
1.5,1327.43,239,0.115663
1.525,1368.32,243,0.113227
1.55,1409.67,247,0.110743
1.575,1451.47,251,0.108217
1.6,1493.69,255,0.105657
1.625,1536.34,259,0.103068
1.65,1579.41,263,0.100455
1.675,1622.87,267,0.097825
1.7,1666.73,271,0.0951831
1.725,1710.96,275,0.0925347
1.75,1755.57,279,0.0898849
1.775,1800.53,283,0.0872386
1.8,1845.84,287,0.0846006
1.825,1891.49,291,0.0819752
1.85,1937.46,295,0.0793668
1.875,1983.75,299,0.0767793
1.9,2030.34,303,0.0742166
1.925,2077.22,307,0.0716823
1.95,2124.38,311,0.0691795
1.975,2171.8,315,0.0667114
2,2219.48,319,0.0642809
2.025,2267.41,323,0.0618906
2.05,2315.56,327,0.0595429
2.075,2363.94,331,0.0572399
2.1,2412.53,335,0.0549836
2.125,2461.31,339,0.0527758
2.15,2510.28,343,0.050618
2.175,2559.42,347,0.0485116
2.2,2608.71,351,0.0464576
2.225,2658.16,355,0.044457
2.25,2707.74,359,0.0425107
2.275,2757.45,363,0.0406191
2.3,2807.27,367,0.0387828
2.325,2857.18,371,0.037002
2.35,2907.19,375,0.0352768
2.375,2957.26,379,0.0336073
2.4,3007.4,383,0.0319932
2.425,3057.59,387,0.0304344
2.45,3107.82,391,0.0289303
2.475,3158.07,395,0.0274805
2.5,3208.33,399,0.0260844
2.525,3258.6,403,0.0247413
2.55,3308.85,407,0.0234504
2.575,3359.07,411,0.0222108
2.6,3409.26,415,0.0210216
2.625,3459.4,419,0.0198818
2.65,3509.48,423,0.0187904
2.675,3559.48,427,0.0177462
2.7,3609.4,431,0.0167482
2.725,3659.22,435,0.015795
2.75,3708.92,439,0.0148855
2.775,3758.5,443,0.0140185
2.8,3807.95,447,0.0131926
2.825,3857.25,451,0.0124067
2.85,3906.39,455,0.0116593
2.875,3955.36,459,0.0109493
2.9,4004.14,463,0.0102754
2.925,4052.72,467,0.00963618
2.95,4101.1,471,0.00903043
2.975,4149.26,475,0.00845687
3,4197.18,479,0.00791423
3.025,4244.87,483,0.00740127
3.05,4292.29,487,0.00691676
3.075,4339.45,491,0.0064595
3.1,4386.33,495,0.00602831
3.125,4432.92,499,0.00562202
3.15,4479.2,503,0.0052395
3.175,4525.17,507,0.00487965
3.2,4570.82,511,0.00454139
3.225,4616.13,515,0.00422369
3.25,4661.1,519,0.00392552
3.275,4705.7,523,0.00364591
3.3,4749.94,527,0.00338391
3.325,4793.8,531,0.00313859
3.35,4837.26,535,0.00290907
3.375,4880.32,539,0.0026945
3.4,4922.97,543,0.00249406
3.425,4965.2,547,0.00230697
3.45,5006.99,551,0.00213247
3.475,5048.34,555,0.00196983
3.5,5089.24,559,0.00181836
3.525,5129.67,563,0.00167741
3.55,5169.63,567,0.00154634
3.575,5209.1,571,0.00142455
3.6,5248.08,575,0.00131147
3.625,5286.56,579,0.00120655
3.65,5324.52,583,0.00110928
3.675,5361.96,587,0.00101917
3.7,5398.87,591,0.000935743
3.725,5435.24,595,0.000858573
3.75,5471.06,599,0.00078724
3.775,5506.32,603,0.000721349
3.8,5541.02,607,0.00066053
3.825,5575.14,611,0.000604435
3.85,5608.67,615,0.000552733
3.875,5641.62,619,0.000505116
3.9,5673.96,623,0.000461292
3.925,5705.69,627,0.000420988
3.95,5736.81,631,0.000383948
3.975,5767.3,635,0.000349933
4,5797.17,639,0.000318717
4.025,5826.39,643,0.000290091
4.05,5854.97,647,0.000263858
4.075,5882.89,651,0.000239836
4.1,5910.16,655,0.000217853
4.125,5936.75,659,0.00019775
4.15,5962.68,663,0.00017938
4.175,5987.92,667,0.000162604
4.2,6012.48,671,0.000147294
4.225,6036.35,675,0.000133333
4.25,6059.52,679,0.000120609
4.275,6081.98,683,0.000109021
4.3,6103.74,687,9.84729e-05
4.325,6124.78,691,8.88786e-05
4.35,6145.1,695,8.01567e-05
4.375,6164.69,699,7.22326e-05
4.4,6183.56,703,6.50371e-05
4.425,6201.69,707,5.85066e-05
4.45,6219.08,711,5.25825e-05
4.475,6235.73,715,4.72105e-05
4.5,6251.63,719,4.2341e-05
4.525,6266.77,723,3.79279e-05
4.55,6281.16,727,3.3929e-05
4.575,6294.8,731,3.03056e-05
4.6,6307.66,735,2.70218e-05
4.625,6319.76,739,2.40447e-05
4.65,6331.09,743,2.1344e-05
4.675,6341.64,747,1.88917e-05
4.7,6351.41,751,1.66621e-05
4.725,6360.4,755,1.46312e-05
4.75,6368.59,759,1.27771e-05
4.775,6375.99,763,1.10792e-05
4.8,6382.58,767,9.51838e-06
4.825,6388.34,771,8.0768e-06
4.85,6393.24,775,6.7376e-06
4.875,6397.2,779,5.48482e-06
4.9,6400.3,783,4.30322e-06
4.925,6403.61,787,3.17813e-06
4.95,6408.2,791,2.09527e-06
4.975,6414.82,795,1.04056e-06
