rho,eigenvals,eigenvec
0.05,0.840703,0.00209022
0.1,2.17318,0.00428057
0.15,4.23476,0.00656893
0.2,7.05524,0.00895296
0.25,10.644,0.0114301
0.3,15.0032,0.0139975
0.35,20.1316,0.0166521
0.4,26.0258,0.0193907
0.45,32.6812,0.0222097
0.5,40.0921,0.0251055
0.55,48.2515,0.028074
0.6,57.152,0.0311111
0.65,66.785,0.0342124
0.7,77.1413,0.0373734
0.75,88.2108,0.0405894
0.8,99.9827,0.0438553
0.85,112.446,0.0471662
0.9,125.587,0.0505166
0.95,139.395,0.0539012
1,153.855,0.0573144
1.05,168.953,0.0607504
1.1,184.674,0.0642033
1.15,201.003,0.0676673
1.2,217.924,0.0711362
1.25,235.42,0.0746038
1.3,253.474,0.0780638
1.35,272.068,0.08151
1.4,291.184,0.0849357
1.45,310.803,0.0883347
1.5,330.905,0.0917004
1.55,351.471,0.0950262
1.6,372.48,0.0983057
1.65,393.912,0.101532
1.7,415.746,0.104699
1.75,437.96,0.1078
1.8,460.532,0.110829
1.85,483.44,0.113778
1.9,506.661,0.116642
1.95,530.173,0.119415
2,553.952,0.12209
2.05,577.975,0.124661
2.1,602.217,0.127122
2.15,626.656,0.129468
2.2,651.267,0.131692
2.25,676.026,0.133789
2.3,700.908,0.135754
2.35,725.888,0.137581
2.4,750.943,0.139266
2.45,776.047,0.140803
2.5,801.176,0.142188
2.55,826.304,0.143417
2.6,851.408,0.144485
2.65,876.462,0.145388
2.7,901.441,0.146124
2.75,926.321,0.146688
2.8,951.077,0.147077
2.85,975.686,0.147288
2.9,1000.12,0.14732
2.95,1024.36,0.147169
3,1048.38,0.146834
3.05,1072.15,0.146313
3.1,1095.66,0.145605
3.15,1118.88,0.144709
3.2,1141.78,0.143624
3.25,1164.35,0.142349
3.3,1186.55,0.140885
3.35,1208.38,0.139232
3.4,1229.8,0.137391
3.45,1250.81,0.135362
3.5,1271.36,0.133148
3.55,1291.45,0.130749
3.6,1311.06,0.128167
3.65,1330.17,0.125406
3.7,1348.75,0.122468
3.75,1366.79,0.119355
3.8,1384.28,0.116071
3.85,1401.18,0.112621
3.9,1417.5,0.109007
3.95,1433.2,0.105234
4,1448.28,0.101307
4.05,1462.73,0.0972311
4.1,1476.51,0.0930111
4.15,1489.64,0.0886527
4.2,1502.08,0.0841618
4.25,1513.82,0.0795444
4.3,1524.87,0.074807
4.35,1535.2,0.0699562
4.4,1544.8,0.064999
4.45,1553.67,0.0599423
4.5,1561.79,0.0547937
4.55,1569.16,0.0495606
4.6,1575.77,0.0442508
4.65,1581.61,0.0388723
4.7,1586.68,0.0334332
4.75,1590.96,0.0279418
4.8,1594.46,0.0224066
4.85,1597.17,0.016836
4.9,1599.07,0.0112389
4.95,1600.17,0.00562392
