rho,eigenvals,eigenvec
0.025,17.4436,0.0168535
0.05,37.0477,0.0339447
0.075,56.7952,0.0510916
0.1,76.5961,0.0681116
0.125,96.4193,0.0848254
0.15,116.25,0.101059
0.175,136.081,0.116648
0.2,155.908,0.131437
0.225,175.728,0.145287
0.25,195.538,0.158071
0.275,215.338,0.169681
0.3,235.126,0.180027
0.325,254.902,0.189039
0.35,274.665,0.196665
0.375,294.415,0.202875
0.4,314.15,0.207657
0.425,333.872,0.211019
0.45,353.579,0.212986
0.475,373.272,0.213601
0.5,392.95,0.212921
0.525,412.613,0.211018
0.55,432.261,0.207974
0.575,451.895,0.203882
0.6,471.512,0.198842
0.625,491.115,0.19296
0.65,510.705,0.186345
0.675,530.291,0.179107
0.7,549.909,0.171358
0.725,569.658,0.163206
0.75,589.731,0.154756
0.775,610.385,0.146107
0.8,631.837,0.137355
0.825,654.202,0.128585
0.85,677.501,0.119879
0.875,701.713,0.111308
0.9,726.8,0.102934
0.925,752.724,0.094812
0.95,779.452,0.086988
0.975,806.955,0.0794996
1,835.21,0.0723762
1.025,864.192,0.0656399
1.05,893.885,0.0593055
1.075,924.269,0.0533816
1.1,955.329,0.0478705
1.125,987.051,0.0427698
1.15,1019.42,0.0380724
1.175,1052.42,0.0337673
1.2,1086.05,0.0298405
1.225,1120.28,0.0262753
1.25,1155.11,0.0230531
1.275,1190.53,0.020154
1.3,1226.53,0.0175569
1.325,1263.08,0.0152405
1.35,1300.19,0.0131832
1.375,1337.84,0.0113636
1.4,1376.02,0.00976106
1.425,1414.72,0.00835537
1.45,1453.93,0.00712735
1.475,1493.63,0.00605885
1.5,1533.82,0.00513282
1.525,1574.49,0.00433343
1.55,1615.62,0.00364603
1.575,1657.21,0.00305722
1.6,1699.24,0.00255479
1.625,1741.7,0.0021277
1.65,1784.58,0.00176602
1.675,1827.87,0.00146088
1.7,1871.56,0.0012044
1.725,1915.64,0.000989614
1.75,1960.09,0.000810412
1.775,2004.91,0.000661444
1.8,2050.07,0.000538059
1.825,2095.58,0.000436234
1.85,2141.42,0.000352505
1.875,2187.58,0.000283902
1.9,2234.04,0.000227894
1.925,2280.8,0.000182332
1.95,2327.84,0.000145397
1.975,2375.15,0.000115563
2,2422.72,9.15486e-05
2.025,2470.53,7.22866e-05
2.05,2518.59,5.68904e-05
2.075,2566.86,4.46269e-05
2.1,2615.34,3.48927e-05
2.125,2664.03,2.71927e-05
2.15,2712.89,2.11229e-05
2.175,2761.94,1.63546e-05
2.2,2811.14,1.26215e-05
2.225,2860.5,9.70897e-06
2.25,2909.99,7.44431e-06
2.275,2959.6,5.68941e-06
2.3,3009.33,4.33415e-06
2.325,3059.16,3.29106e-06
2.35,3109.08,2.49094e-06
2.375,3159.07,1.87927e-06
2.4,3209.12,1.41324e-06
2.425,3259.22,1.05936e-06
2.45,3309.36,7.91538e-07
2.475,3359.53,5.89528e-07
2.5,3409.71,4.37666e-07
2.525,3459.89,3.23883e-07
2.55,3510.05,2.38914e-07
2.575,3560.2,1.75672e-07
2.6,3610.3,1.28758e-07
2.625,3660.35,9.40717e-08
2.65,3710.35,6.85103e-08
2.675,3760.26,4.97355e-08
2.7,3810.09,3.59909e-08
2.725,3859.82,2.59618e-08
2.75,3909.44,1.86679e-08
2.775,3958.93,1.33805e-08
2.8,4008.29,9.5603e-09
2.825,4057.5,6.80912e-09
2.85,4106.54,4.83428e-09
2.875,4155.41,3.42133e-09
2.9,4204.1,2.4137e-09
2.925,4252.59,1.69745e-09
2.95,4300.86,1.18997e-09
2.975,4348.92,8.31573e-10
3,4396.74,5.79287e-10
3.025,4444.31,4.02269e-10
3.05,4491.63,2.78464e-10
3.075,4538.68,1.92155e-10
3.1,4585.44,1.3218e-10
3.125,4631.91,9.06388e-11
3.15,4678.08,6.19578e-11
3.175,4723.92,4.22193e-11
3.2,4769.44,2.86789e-11
3.225,4814.62,1.942e-11
3.25,4859.45,1.31091e-11
3.275,4903.91,8.82139e-12
3.3,4948,5.91751e-12
3.325,4991.7,3.95713e-12
3.35,5035.01,2.63793e-12
3.375,5077.91,1.75301e-12
3.4,5120.39,1.16132e-12
3.425,5162.44,7.6694e-13
3.45,5204.05,5.04911e-13
3.475,5245.21,3.31363e-13
3.5,5285.91,2.1679e-13
3.525,5326.13,1.41394e-13
3.55,5365.87,9.19305e-14
3.575,5405.12,5.95818e-14
3.6,5443.86,3.84945e-14
3.625,5482.08,2.48006e-14
3.65,5519.79,1.59232e-14
3.675,5556.95,1.019e-14
3.7,5593.57,6.50393e-15
3.725,5629.64,4.13454e-15
3.75,5665.13,2.62024e-15
3.775,5700.05,1.65191e-15
3.8,5734.39,1.0383e-15
3.825,5768.13,6.55898e-16
3.85,5801.26,4.12753e-16
3.875,5833.77,2.58646e-16
3.9,5865.66,1.63278e-16
3.925,5896.91,1.05254e-16
3.95,5927.51,6.68936e-17
3.975,5957.45,4.7291e-17
4,5986.72,2.75964e-17
4.025,6015.3,1.50787e-17
4.05,6043.2,1.45005e-17
4.075,6070.39,9.56612e-18
4.1,6096.86,8.33684e-18
4.125,6122.6,8.42721e-18
4.15,6147.59,6.67894e-18
4.175,6171.82,6.68138e-18
4.2,6195.27,5.52452e-18
4.225,6217.93,1.42867e-18
4.25,6239.76,-2.29499e-19
4.275,6260.76,1.49128e-18
4.3,6280.89,4.7612e-18
4.325,6300.11,5.49766e-18
4.35,6318.38,1.36611e-17
4.375,6335.66,1.1331e-17
4.4,6351.87,1.28991e-17
4.425,6366.91,1.22414e-17
4.45,6380.6,9.26252e-18
4.475,6392.64,2.32873e-18
4.5,6403.1,-5.47892e-19
4.525,6413.89,2.74017e-18
4.55,6426.52,-6.43996e-19
4.575,6440.87,-3.70321e-18
4.6,6456.71,3.16786e-18
4.625,6473.93,-7.97433e-18
4.65,6492.51,-6.30755e-18
4.675,6512.45,-2.34089e-18
4.7,6533.81,-1.0702e-18
4.725,6556.64,1.0754e-17
4.75,6581.04,3.81724e-18
4.775,6607.16,1.83669e-19
4.8,6635.18,2.752e-20
4.825,6665.34,3.80476e-18
4.85,6697.99,6.26735e-18
4.875,6733.62,3.26607e-18
4.9,6772.98,6.34762e-19
4.925,6817.32,-7.17127e-20
4.95,6869.05,9.99809e-20
4.975,6934.38,4.08601e-18
