Cycle,Temperature,Energy,HeatCapacity,Magnetization,MagneticSusceptibility,Magnetization_Abs
1,1.0000000,-0.00080000000,0.063936000,0.00012000000,0.0014385600,0.00012000000
11,1.0000000,-0.014560000,1.9743206,0.0028000000,0.076096000,0.0028000000
21,1.0000000,-0.030040000,4.3035198,0.0045400000,0.10645884,0.0045400000
31,1.0000000,-0.044880000,6.3963386,0.0048000000,0.10745600,0.0048400000
41,1.0000000,-0.060000000,8.5257600,0.0043600000,0.11409904,0.0055600000
51,1.0000000,-0.075000000,10.573980,0.0044800000,0.12455296,0.0064400000
61,1.0000000,-0.089840000,12.534637,0.0038400000,0.13876544,0.0074800000
71,1.0000000,-0.10480000,14.486336,-0.00052000000,0.35517296,0.011840000
81,1.0000000,-0.12424000,17.829562,-0.010220000,1.2887952,0.021540000
91,1.0000000,-0.14424000,21.292602,-0.020220000,2.2583552,0.031540000
101,1.0000000,-0.16408000,24.618175,-0.030180000,3.2002368,0.041500000
111,1.0000000,-0.18408000,27.921855,-0.040180000,4.1298768,0.051500000
121,1.0000000,-0.20408000,31.145535,-0.050180000,5.0395168,0.061500000
131,1.0000000,-0.22408000,34.289215,-0.060180000,5.9291568,0.071500000
141,1.0000000,-0.24408000,37.352895,-0.070180000,6.7987968,0.081500000
151,1.0000000,-0.26408000,40.336575,-0.080180000,7.6484368,0.091500000
161,1.0000000,-0.28392000,43.186623,-0.090140000,8.4708780,0.10146000
171,1.0000000,-0.30376000,45.957946,-0.10010000,9.2734790,0.11142000
181,1.0000000,-0.32352000,48.624361,-0.11004000,10.052720,0.12136000
191,1.0000000,-0.34344000,51.264417,-0.12002000,10.819160,0.13134000
201,1.0000000,-0.36336000,53.825111,-0.13000000,11.565680,0.14132000
211,1.0000000,-0.38336000,56.331671,-0.14000000,12.295680,0.15132000
221,1.0000000,-0.40320000,58.708416,-0.14996000,12.998960,0.16128000
231,1.0000000,-0.42320000,61.055616,-0.15996000,13.689040,0.17128000
241,1.0000000,-0.44320000,63.322816,-0.16996000,14.359120,0.18128000
251,1.0000000,-0.46312000,65.486067,-0.17994000,15.005960,0.19126000
261,1.0000000,-0.48312000,67.593587,-0.18994000,15.636080,0.20126000
271,1.0000000,-0.50312000,69.621107,-0.19994000,16.246200,0.21126000
281,1.0000000,-0.52304000,71.545636,-0.20992000,16.833199,0.22124000
291,1.0000000,-0.54304000,73.413476,-0.21992000,17.403359,0.23124000
301,1.0000000,-0.56304000,75.201316,-0.22992000,17.953519,0.24124000
311,1.0000000,-0.58280000,76.843056,-0.23986000,18.474678,0.25118000
321,1.0000000,-0.60264000,78.428423,-0.24982000,18.979037,0.26114000
331,1.0000000,-0.62264000,79.977863,-0.25982000,19.469397,0.27114000
341,1.0000000,-0.64264000,81.447303,-0.26982000,19.939757,0.28114000
351,1.0000000,-0.66264000,82.836743,-0.27982000,20.390117,0.29114000
361,1.0000000,-0.68264000,84.146183,-0.28982000,20.820477,0.30114000
371,1.0000000,-0.70248000,85.335385,-0.29978000,21.225315,0.31110000
381,1.0000000,-0.72248000,86.485465,-0.30978000,21.615755,0.32110000
391,1.0000000,-0.74248000,87.555545,-0.31978000,21.986195,0.33110000
401,1.0000000,-0.76240000,88.526464,-0.32976000,22.333994,0.34108000
411,1.0000000,-0.78232000,89.418022,-0.33974000,22.661873,0.35106000
