Cycle,Temperature,Energy,HeatCapacity,Magnetization,MagneticSusceptibility,Magnetization_Abs
11,1.0000000,-0.022000000,4.3516000,0.011000000,1.0879000,0.011000000
21,1.0000000,-0.042000000,8.2236000,0.021000000,2.0559000,0.021000000
31,1.0000000,-0.061840000,11.954861,0.030960000,2.9962278,0.030960000
41,1.0000000,-0.081840000,15.667501,0.040960000,3.9243078,0.040960000
51,1.0000000,-0.10184000,19.300141,0.050960000,4.8323878,0.050960000
61,1.0000000,-0.12184000,22.852781,0.060960000,5.7204678,0.060960000
71,1.0000000,-0.14168000,26.267238,0.070920000,6.5811954,0.070920000
81,1.0000000,-0.16160000,29.631744,0.080900000,7.4257190,0.080900000
91,1.0000000,-0.18160000,32.945344,0.090900000,8.2539190,0.090900000
101,1.0000000,-0.20160000,36.178944,0.10090000,9.0621190,0.10090000
111,1.0000000,-0.22152000,39.304729,0.11088000,9.8468026,0.11088000
121,1.0000000,-0.24152000,42.378649,0.12088000,10.615043,0.12088000
131,1.0000000,-0.26136000,45.318215,0.13084000,11.356409,0.13084000
141,1.0000000,-0.28136000,48.232775,0.14084000,12.084729,0.14084000
151,1.0000000,-0.30128000,51.040796,0.15082000,12.789693,0.15082000
161,1.0000000,-0.32128000,53.795676,0.16082000,13.478053,0.16082000
171,1.0000000,-0.34128000,56.470556,0.17082000,14.146413,0.17082000
181,1.0000000,-0.36128000,59.065436,0.18082000,14.794773,0.18082000
191,1.0000000,-0.38128000,61.580316,0.19082000,15.423133,0.19082000
201,1.0000000,-0.40112000,63.965315,0.20078000,16.025179,0.20078000
211,1.0000000,-0.42096000,66.271588,0.21074000,16.607385,0.21074000
221,1.0000000,-0.44096000,68.547748,0.22074000,17.175905,0.22074000
231,1.0000000,-0.46096000,70.743908,0.23074000,17.724425,0.23074000
241,1.0000000,-0.48096000,72.860068,0.24074000,18.252945,0.24074000
251,1.0000000,-0.50096000,74.896228,0.25074000,18.761465,0.25074000
261,1.0000000,-0.52096000,76.852388,0.26074000,19.249985,0.26074000
271,1.0000000,-0.54096000,78.728548,0.27074000,19.718505,0.27074000
281,1.0000000,-0.56096000,80.524708,0.28074000,20.167025,0.28074000
291,1.0000000,-0.58096000,82.240868,0.29074000,20.595545,0.29074000
301,1.0000000,-0.60096000,83.877028,0.30074000,21.004065,0.30074000
311,1.0000000,-0.62096000,85.433188,0.31074000,21.392585,0.31074000
321,1.0000000,-0.64096000,86.909348,0.32074000,21.761105,0.32074000
331,1.0000000,-0.66096000,88.305508,0.33074000,22.109625,0.33074000
341,1.0000000,-0.68096000,89.621668,0.34074000,22.438145,0.34074000
351,1.0000000,-0.70096000,90.857828,0.35074000,22.746665,0.35074000
361,1.0000000,-0.72096000,92.013988,0.36074000,23.035185,0.36074000
