Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
1,2,1.00,0.00,0.0000000,0.0000000,0.0000000,0.50000000
11,0,1.00,-8.00,-1.2727273,3.7024793,0.42975207,0.77272727
21,0,1.00,-8.00,-1.6190476,2.4671202,0.27664399,0.88095238
31,0,1.00,-8.00,-1.7419355,1.7981270,0.19979188,0.91935484
41,0,1.00,-8.00,-1.8048780,1.4086853,0.15585961,0.93902439
51,0,1.00,-8.00,-1.8431373,1.1564783,0.12764321,0.95098039
61,0,1.00,-8.00,-1.8688525,0.98038162,0.10803547,0.95901639
71,0,1.00,-8.00,-1.8873239,0.85062488,0.093632216,0.96478873
81,0,1.00,-8.00,-1.9012346,0.75110501,0.082609358,0.96913580
91,0,1.00,-8.00,-1.9120879,0.67238256,0.073904118,0.97252747
101,0,1.00,-8.00,-1.9207921,0.60856779,0.066856191,0.97524752
111,0,1.00,-8.00,-1.9279279,0.55579904,0.061034007,0.97747748
121,0,1.00,-8.00,-1.9338843,0.51144048,0.056143706,0.97933884
131,0,1.00,-8.00,-1.9389313,0.47363207,0.051978323,0.98091603
141,0,1.00,-8.00,-1.9432624,0.44102409,0.048387908,0.98226950
151,0,1.00,-8.00,-1.9470199,0.41261348,0.045261173,0.98344371
161,0,1.00,-8.00,-1.9503106,0.38763937,0.042513792,0.98447205
171,0,1.00,-8.00,-1.9532164,0.36551418,0.040080709,0.98538012
181,0,1.00,-8.00,-1.9558011,0.34577699,0.037910931,0.98618785
191,0,1.00,-8.00,-1.9581152,0.32806118,0.035963926,0.98691099
201,0,1.00,-8.00,-1.9601990,0.31207148,0.034207074,0.98756219
211,0,1.00,-8.00,-1.9620853,0.29756744,0.032613823,0.98815166
221,0,1.00,-8.00,-1.9638009,0.28435126,0.031162343,0.98868778
231,0,1.00,-8.00,-1.9653680,0.27225877,0.029834523,0.98917749
241,0,1.00,-8.00,-1.9668050,0.26115253,0.028615210,0.98962656
251,0,1.00,-8.00,-1.9681275,0.25091665,0.027491627,0.99003984
261,0,1.00,-8.00,-1.9693487,0.24145271,0.026452929,0.99042146
271,0,1.00,-8.00,-1.9704797,0.23267657,0.025489849,0.99077491
281,0,1.00,-8.00,-1.9715302,0.22451590,0.024594420,0.99110320
291,0,1.00,-8.00,-1.9725086,0.21690816,0.023759757,0.99140893
301,0,1.00,-8.00,-1.9734219,0.20979901,0.022979879,0.99169435
311,0,1.00,-8.00,-1.9742765,0.20314099,0.022249563,0.99196141
321,0,1.00,-8.00,-1.9750779,0.19689250,0.021564232,0.99221184
331,0,1.00,-8.00,-1.9758308,0.19101688,0.020919853,0.99244713
341,0,1.00,-8.00,-1.9765396,0.18548172,0.020312863,0.99266862
351,0,1.00,-8.00,-1.9772080,0.18025828,0.019740100,0.99287749
361,0,1.00,-8.00,-1.9778393,0.17532094,0.019198748,0.99307479
371,0,1.00,-8.00,-1.9784367,0.17064683,0.018686293,0.99326146
381,0,1.00,-8.00,-1.9790026,0.16621544,0.018200481,0.99343832
391,0,1.00,-8.00,-1.9795396,0.16200836,0.017739287,0.99360614
401,0,1.00,-8.00,-1.9800499,0.15800897,0.017300887,0.99376559
411,0,1.00,-8.00,-1.9805353,0.15420226,0.016883632,0.99391727
421,0,1.00,-8.00,-1.9809976,0.15057464,0.016486027,0.99406176
431,0,1.00,-8.00,-1.9814385,0.14711376,0.016106718,0.99419954
441,0,1.00,-8.00,-1.9818594,0.14380839,0.015744469,0.99433107
451,0,1.00,-8.00,-1.9822616,0.14064828,0.015398154,0.99445676
461,0,1.00,-8.00,-1.9826464,0.13762405,0.015066746,0.99457701
471,0,1.00,-8.00,-1.9830149,0.13472712,0.014749302,0.99469214
481,0,1.00,-8.00,-1.9833680,0.13194964,0.014444958,0.99480249
491,0,1.00,-8.00,-1.9837067,0.12928435,0.014152920,0.99490835
501,0,1.00,-8.00,-1.9840319,0.12672459,0.013872455,0.99500998
511,0,1.00,-8.00,-1.9843444,0.12426423,0.013602889,0.99510763
521,0,1.00,-8.00,-1.9846449,0.12189758,0.013343600,0.99520154
531,0,1.00,-8.00,-1.9849341,0.11961938,0.013094009,0.99529190
541,0,1.00,-8.00,-1.9852126,0.11742477,0.012853585,0.99537893
551,0,1.00,-8.00,-1.9854809,0.11530924,0.012621829,0.99546279
561,0,1.00,-8.00,-1.9857398,0.11326858,0.012398283,0.99554367
571,0,1.00,-8.00,-1.9859895,0.11129889,0.012182517,0.99562172
581,0,1.00,-8.00,-1.9862306,0.10939652,0.011974132,0.99569707
591,0,1.00,-8.00,-1.9864636,0.10755810,0.011772756,0.99576988
601,0,1.00,-8.00,-1.9866889,0.10578044,0.011578041,0.99584027
611,0,1.00,-8.00,-1.9869067,0.10406058,0.011389662,0.99590835
621,0,1.00,-8.00,-1.9806763,0.15309575,0.019157714,0.99355878
631,0,1.00,-8.00,-1.9809826,0.15069281,0.018856694,0.99366086
641,0,1.00,-8.00,-1.9812793,0.14836412,0.018564986,0.99375975
651,0,1.00,-8.00,-1.9815668,0.14610631,0.018282165,0.99385561
661,0,1.00,-8.00,-1.9818457,0.14391618,0.018007832,0.99394856
671,0,1.00,-8.00,-1.9821162,0.14179073,0.017741609,0.99403875
681,0,1.00,-8.00,-1.9823789,0.13972714,0.017483143,0.99412628
691,0,1.00,-8.00,-1.9826339,0.13772276,0.017232099,0.99421129
701,0,1.00,-8.00,-1.9828816,0.13577506,0.016988162,0.99429387
711,0,1.00,-8.00,-1.9831224,0.13388168,0.016751035,0.99437412
721,0,1.00,-8.00,-1.9833564,0.13204037,0.016520436,0.99445215
731,0,1.00,-8.00,-1.9835841,0.13024903,0.016296099,0.99452804
741,0,1.00,-8.00,-1.9838057,0.12850563,0.016077774,0.99460189
751,0,1.00,-8.00,-1.9840213,0.12680829,0.015865220,0.99467377
761,0,1.00,-8.00,-1.9842313,0.12515519,0.015658213,0.99474376
771,0,1.00,-8.00,-1.9844358,0.12354464,0.015456538,0.99481193
781,0,1.00,-8.00,-1.9846351,0.12197501,0.015259992,0.99487836
791,0,1.00,-8.00,-1.9848293,0.12044476,0.015068381,0.99494311
801,0,1.00,-8.00,-1.9850187,0.11895243,0.014881523,0.99500624
