Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
1,0,1.00,-800.,-2.0000000,0.0000000,0.0000000,1.0000000
2,0,1.00,-800.,-2.0000000,0.0000000,0.0000000,1.0000000
3,0,1.00,-800.,-2.0000000,0.0000000,0.0000000,1.0000000
4,0,1.00,-800.,-2.0000000,0.0000000,0.0000000,1.0000000
5,2,1.00,-800.,-2.0000000,0.0000000,0.0000000,1.0000000
6,0,1.00,-800.,-2.0000000,0.0000000,0.0000000,1.0000000
7,0,1.00,-800.,-2.0000000,0.0000000,0.0000000,1.0000000
8,1,1.00,-792.,-1.9975000,0.017500000,0.0010937500,0.99937500
9,0,1.00,-792.,-1.9955556,0.027654321,0.0017283951,0.99888889
10,0,1.00,-792.,-1.9940000,0.033600000,0.0021000000,0.99850000
11,2,1.00,-792.,-1.9927273,0.037024793,0.0023140496,0.99818182
12,1,1.00,-800.,-1.9933333,0.035555556,0.0022222222,0.99833333
13,0,1.00,-800.,-1.9938462,0.034082840,0.0021301775,0.99846154
14,0,1.00,-800.,-1.9942857,0.032653061,0.0020408163,0.99857143
15,0,1.00,-800.,-1.9946667,0.031288889,0.0019555556,0.99866667
16,0,1.00,-800.,-1.9950000,0.030000000,0.0018750000,0.99875000
17,0,1.00,-800.,-1.9952941,0.028788927,0.0017993080,0.99882353
18,1,1.00,-792.,-1.9944444,0.032098765,0.0020061728,0.99861111
19,1,1.00,-800.,-1.9947368,0.031024931,0.0019390582,0.99868421
20,0,1.00,-800.,-1.9950000,0.030000000,0.0018750000,0.99875000
21,0,1.00,-800.,-1.9952381,0.029024943,0.0018140590,0.99880952
22,0,1.00,-800.,-1.9954545,0.028099174,0.0017561983,0.99886364
23,0,1.00,-800.,-1.9956522,0.027221172,0.0017013233,0.99891304
24,2,1.00,-800.,-1.9958333,0.026388889,0.0016493056,0.99895833
25,0,1.00,-800.,-1.9960000,0.025600000,0.0016000000,0.99900000
26,0,1.00,-800.,-1.9961538,0.024852071,0.0015532544,0.99903846
27,2,1.00,-800.,-1.9962963,0.024142661,0.0015089163,0.99907407
28,0,1.00,-800.,-1.9964286,0.023469388,0.0014668367,0.99910714
29,1,1.00,-792.,-1.9958621,0.026254459,0.0016409037,0.99896552
30,0,1.00,-792.,-1.9953333,0.028622222,0.0017888889,0.99883333
31,1,1.00,-800.,-1.9954839,0.027970864,0.0017481790,0.99887097
32,1,1.00,-792.,-1.9950000,0.030000000,0.0018750000,0.99875000
33,1,1.00,-800.,-1.9951515,0.029384757,0.0018365473,0.99878788
34,0,1.00,-800.,-1.9952941,0.028788927,0.0017993080,0.99882353
35,0,1.00,-800.,-1.9954286,0.028212245,0.0017632653,0.99885714
36,0,1.00,-800.,-1.9955556,0.027654321,0.0017283951,0.99888889
37,0,1.00,-800.,-1.9956757,0.027114682,0.0016946676,0.99891892
38,0,1.00,-800.,-1.9957895,0.026592798,0.0016620499,0.99894737
39,0,1.00,-800.,-1.9958974,0.026088100,0.0016305062,0.99897436
40,0,1.00,-800.,-1.9960000,0.025600000,0.0016000000,0.99900000
41,0,1.00,-800.,-1.9960976,0.025127900,0.0015704938,0.99902439
42,1,1.00,-792.,-1.9957143,0.026938776,0.0016836735,0.99892857
43,1,1.00,-800.,-1.9958140,0.026479178,0.0016549486,0.99895349
44,0,1.00,-800.,-1.9959091,0.026033058,0.0016270661,0.99897727
45,0,1.00,-800.,-1.9960000,0.025600000,0.0016000000,0.99900000
46,0,1.00,-800.,-1.9960870,0.025179584,0.0015737240,0.99902174
47,0,1.00,-800.,-1.9961702,0.024771390,0.0015482119,0.99904255
48,0,1.00,-800.,-1.9962500,0.024375000,0.0015234375,0.99906250
49,0,1.00,-800.,-1.9963265,0.023990004,0.0014993753,0.99908163
50,0,1.00,-800.,-1.9964000,0.023616000,0.0014760000,0.99910000
51,0,1.00,-800.,-1.9964706,0.023252595,0.0014532872,0.99911765
52,0,1.00,-800.,-1.9965385,0.022899408,0.0014312130,0.99913462
53,0,1.00,-800.,-1.9966038,0.022556070,0.0014097544,0.99915094
