Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
1,0,1.00,-800.,-2.0000000,0.0000000,0.0000000,1.0000000
2,0,1.00,-800.,-2.0000000,0.0000000,0.0000000,1.0000000
3,2,1.00,-800.,-2.0000000,0.0000000,0.0000000,1.0000000
4,0,1.00,-800.,-2.0000000,0.0000000,0.0000000,1.0000000
5,0,1.00,-800.,-2.0000000,0.0000000,0.0000000,1.0000000
6,1,1.00,-792.,-1.9966667,0.022222222,0.0013888889,0.99916667
7,1,1.00,-800.,-1.9971429,0.019591837,0.0012244898,0.99928571
8,0,1.00,-800.,-1.9975000,0.017500000,0.0010937500,0.99937500
9,0,1.00,-800.,-1.9977778,0.015802469,0.00098765432,0.99944444
10,0,1.00,-800.,-1.9980000,0.014400000,0.00090000000,0.99950000
11,0,1.00,-800.,-1.9981818,0.013223140,0.00082644628,0.99954545
12,0,1.00,-800.,-1.9983333,0.012222222,0.00076388889,0.99958333
13,0,1.00,-800.,-1.9984615,0.011360947,0.00071005917,0.99961538
14,0,1.00,-800.,-1.9985714,0.010612245,0.00066326531,0.99964286
15,0,1.00,-800.,-1.9986667,0.0099555556,0.00062222222,0.99966667
16,1,1.00,-792.,-1.9975000,0.017500000,0.0010937500,0.99937500
17,1,1.00,-800.,-1.9976471,0.016608997,0.0010380623,0.99941176
18,0,1.00,-800.,-1.9977778,0.015802469,0.00098765432,0.99944444
19,0,1.00,-800.,-1.9978947,0.015069252,0.00094182825,0.99947368
20,0,1.00,-800.,-1.9980000,0.014400000,0.00090000000,0.99950000
21,0,1.00,-800.,-1.9980952,0.013786848,0.00086167800,0.99952381
22,0,1.00,-800.,-1.9981818,0.013223140,0.00082644628,0.99954545
23,0,1.00,-800.,-1.9982609,0.012703214,0.00079395085,0.99956522
24,0,1.00,-800.,-1.9983333,0.012222222,0.00076388889,0.99958333
25,0,1.00,-800.,-1.9984000,0.011776000,0.00073600000,0.99960000
26,0,1.00,-800.,-1.9984615,0.011360947,0.00071005917,0.99961538
27,1,1.00,-792.,-1.9977778,0.015802469,0.00098765432,0.99944444
28,1,1.00,-800.,-1.9978571,0.015306122,0.00095663265,0.99946429
29,0,1.00,-800.,-1.9979310,0.014839477,0.00092746730,0.99948276
30,0,1.00,-800.,-1.9980000,0.014400000,0.00090000000,0.99950000
31,0,1.00,-800.,-1.9980645,0.013985432,0.00087408949,0.99951613
32,0,1.00,-800.,-1.9981250,0.013593750,0.00084960937,0.99953125
33,0,1.00,-800.,-1.9981818,0.013223140,0.00082644628,0.99954545
34,1,1.00,-792.,-1.9976471,0.016608997,0.0010380623,0.99941176
35,0,1.00,-792.,-1.9971429,0.019591837,0.0012244898,0.99928571
36,0,1.00,-792.,-1.9966667,0.022222222,0.0013888889,0.99916667
37,0,1.00,-792.,-1.9962162,0.024543462,0.0015339664,0.99905405
38,0,1.00,-792.,-1.9957895,0.026592798,0.0016620499,0.99894737
39,1,1.00,-800.,-1.9958974,0.026088100,0.0016305062,0.99897436
40,0,1.00,-800.,-1.9960000,0.025600000,0.0016000000,0.99900000
41,0,1.00,-800.,-1.9960976,0.025127900,0.0015704938,0.99902439
42,0,1.00,-800.,-1.9961905,0.024671202,0.0015419501,0.99904762
43,0,1.00,-800.,-1.9962791,0.024229313,0.0015143321,0.99906977
44,0,1.00,-800.,-1.9963636,0.023801653,0.0014876033,0.99909091
45,0,1.00,-800.,-1.9964444,0.023387654,0.0014617284,0.99911111
46,0,1.00,-800.,-1.9965217,0.022986767,0.0014366730,0.99913043
47,0,1.00,-800.,-1.9965957,0.022598461,0.0014124038,0.99914894
48,1,1.00,-792.,-1.9962500,0.024375000,0.0015234375,0.99906250
49,1,1.00,-800.,-1.9963265,0.023990004,0.0014993753,0.99908163
50,0,1.00,-800.,-1.9964000,0.023616000,0.0014760000,0.99910000
51,0,1.00,-800.,-1.9964706,0.023252595,0.0014532872,0.99911765
52,0,1.00,-800.,-1.9965385,0.022899408,0.0014312130,0.99913462
53,0,1.00,-800.,-1.9966038,0.022556070,0.0014097544,0.99915094
