Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
1,213,1.00,-332.,-0.83000000,0.0000000,0.0000000,0.30500000
2,108,1.00,-420.,-0.94000000,4.8400000,0.010000000,0.30000000
3,93,1.00,-524.,-1.0633333,15.395556,0.0066666667,0.30000000
4,60,1.00,-580.,-1.1600000,22.760000,0.072500000,0.30750000
5,52,1.00,-588.,-1.2220000,24.358400,0.12560000,0.31400000
6,53,1.00,-604.,-1.2700000,24.906667,0.15805556,0.31916667
7,53,1.00,-620.,-1.3100000,25.188571,0.18204082,0.32357143
8,39,1.00,-636.,-1.3450000,25.470000,0.23437500,0.32875000
9,31,1.00,-636.,-1.3722222,25.011358,0.24691358,0.33222222
10,37,1.00,-648.,-1.3970000,24.720400,0.28810000,0.33650000
11,38,1.00,-664.,-1.4209091,24.759669,0.26198347,0.33636364
12,46,1.00,-664.,-1.4408333,24.443056,0.55409722,0.32791667
13,32,1.00,-684.,-1.4615385,24.620592,0.70674556,0.32153846
14,30,1.00,-688.,-1.4800000,24.634286,0.77372449,0.31678571
15,24,1.00,-692.,-1.4966667,24.547556,0.85040000,0.31200000
16,30,1.00,-680.,-1.5093750,23.982344,0.87339844,0.30843750
17,25,1.00,-692.,-1.5223529,23.649550,0.85474048,0.30617647
18,28,1.00,-688.,-1.5333333,23.155556,0.80805556,0.30583333
19,18,1.00,-692.,-1.5436842,22.708255,0.77717452,0.30710526
20,26,1.00,-696.,-1.5535000,22.305100,0.75887500,0.30875000
21,21,1.00,-692.,-1.5619048,21.808073,0.80235828,0.31190476
22,21,1.00,-700.,-1.5704545,21.430826,0.84636364,0.31500000
23,19,1.00,-696.,-1.5778261,20.977240,1.0491115,0.32021739
24,31,1.00,-680.,-1.5829167,20.341597,1.3174826,0.32604167
25,23,1.00,-680.,-1.5876000,19.738496,1.6056000,0.33200000
26,29,1.00,-696.,-1.5934615,19.322899,1.8678698,0.33769231
27,13,1.00,-700.,-1.5992593,18.956818,2.0299040,0.34240741
28,16,1.00,-700.,-1.6046429,18.592806,2.2781633,0.34785714
29,11,1.00,-700.,-1.6096552,18.233056,2.5942449,0.35379310
30,21,1.00,-692.,-1.6136667,17.811956,2.7296556,0.35816667
31,17,1.00,-704.,-1.6183871,17.504766,2.7710926,0.36145161
32,15,1.00,-696.,-1.6221875,17.136836,2.8406250,0.36500000
33,24,1.00,-696.,-1.6257576,16.780680,2.8967677,0.36833333
34,18,1.00,-696.,-1.6291176,16.436159,2.9414879,0.37147059
35,29,1.00,-700.,-1.6325714,16.128784,3.0134204,0.37485714
36,17,1.00,-696.,-1.6355556,15.805432,3.1126775,0.37847222
37,20,1.00,-696.,-1.6383784,15.493002,3.2862673,0.38270270
38,18,1.00,-704.,-1.6415789,15.236898,3.3530817,0.38592105
