Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
1,41,2.40,-704.,-1.7600000,0.0000000,0.0000000,0.92500000
2,43,2.40,-664.,-1.7100000,0.17361110,0.084374997,0.90250000
3,40,2.40,-680.,-1.7066667,0.11728394,0.056481479,0.90166667
4,40,2.40,-664.,-1.6950000,0.11631944,0.042447915,0.90125000
5,60,2.40,-648.,-1.6800000,0.15555554,0.045999998,0.89700000
6,45,2.40,-692.,-1.6883333,0.15374227,0.056481479,0.90166667
7,42,2.40,-672.,-1.6871429,0.13236960,0.048639454,0.90214286
8,76,2.40,-576.,-1.6562500,0.57975256,0.21458332,0.89000000
9,73,2.40,-616.,-1.6433333,0.60802464,0.21707818,0.88555556
10,62,2.40,-620.,-1.6340000,0.60166662,0.33233332,0.87600000
11,75,2.40,-584.,-1.6181818,0.72072997,0.39249310,0.86863636
12,75,2.40,-596.,-1.6075000,0.74782980,0.40355901,0.86375000
13,98,2.40,-548.,-1.5892308,0.96844174,0.55374751,0.85423077
14,90,2.40,-524.,-1.5692857,1.2583970,0.74415388,0.84392857
15,77,2.40,-556.,-1.5573333,1.3133950,0.79603701,0.83733333
16,73,2.40,-560.,-1.5475000,1.3320311,0.83880205,0.83125000
17,82,2.40,-588.,-1.5429412,1.2767684,0.81369662,0.82823529
18,70,2.40,-560.,-1.5350000,1.2802854,0.83657404,0.82333333
19,75,2.40,-548.,-1.5263158,1.3071713,0.92940901,0.81657895
20,86,2.40,-516.,-1.5145000,1.4260242,1.1735000,0.80700000
21,89,2.40,-496.,-1.5014286,1.5954269,1.2809523,0.80000000
22,89,2.40,-528.,-1.4931818,1.6220872,1.4196022,0.79250000
23,86,2.40,-576.,-1.4908696,1.5597300,1.4109483,0.78869565
24,83,2.40,-484.,-1.4791667,1.7134933,1.5891203,0.78083333
25,107,2.40,-512.,-1.4712000,1.7507332,1.7234266,0.77380000
26,95,2.40,-492.,-1.4619231,1.8328093,1.8029400,0.76788462
27,115,2.40,-468.,-1.4511111,1.9759944,2.1469592,0.75814815
28,101,2.40,-520.,-1.4457143,1.9600339,2.3958120,0.74964286
29,109,2.40,-460.,-1.4355172,2.0946292,2.7018231,0.74051724
30,127,2.40,-424.,-1.4230000,2.3403470,3.0047638,0.73150000
31,129,2.40,-476.,-1.4154839,2.3825440,3.3652357,0.72193548
32,128,2.40,-492.,-1.4096875,2.3804184,3.5677367,0.71421875
33,121,2.40,-472.,-1.4027273,2.4159395,3.8552417,0.70560606
34,128,2.40,-436.,-1.3935294,2.5387589,4.1862059,0.69661765
35,116,2.40,-460.,-1.3865714,2.5805327,4.3255917,0.68985714
36,127,2.40,-424.,-1.3775000,2.7088636,4.6804396,0.68083333
37,144,2.40,-452.,-1.3708108,2.7475142,5.0192474,0.67202703
38,135,2.40,-520.,-1.3689474,2.6841334,5.0976827,0.66618421
39,106,2.40,-508.,-1.3664103,2.6322958,5.1615766,0.66064103
40,100,2.40,-484.,-1.3625000,2.6078991,5.2303097,0.65512500
41,112,2.40,-504.,-1.3600000,2.5616529,5.2108763,0.65109756
42,121,2.40,-412.,-1.3521429,2.6764336,5.2848354,0.64571429
43,107,2.40,-492.,-1.3493023,2.6377244,5.2537270,0.64209302
44,118,2.40,-468.,-1.3452273,2.6273636,5.1808366,0.63954545
45,100,2.40,-484.,-1.3422222,2.5965704,5.0832220,0.63800000
46,110,2.40,-492.,-1.3397826,2.5587224,4.9891066,0.63652174
47,116,2.40,-472.,-1.3363830,2.5412012,4.9300775,0.63404255
48,119,2.40,-500.,-1.3345833,2.4988303,4.8543238,0.63218750
49,116,2.40,-480.,-1.3318367,2.4729798,4.7935372,0.63000000
50,102,2.40,-504.,-1.3304000,2.4305443,4.6977481,0.62990000
51,107,2.40,-520.,-1.3298039,2.3841202,4.6059623,0.63009804
52,103,2.40,-508.,-1.3286538,2.3429562,4.5174678,0.63000000
53,123,2.40,-432.,-1.3239623,2.3782335,4.4519786,0.62849057
54,115,2.40,-456.,-1.3205556,2.3769074,4.3729322,0.62787037
55,119,2.40,-452.,-1.3170909,2.3787050,4.3002423,0.62700000
56,127,2.40,-484.,-1.3151786,2.3501960,4.2243993,0.62732143
57,122,2.40,-452.,-1.3119298,2.3500092,4.1511848,0.62763158
58,128,2.40,-512.,-1.3113793,2.3106915,4.0965169,0.62896552
59,103,2.40,-536.,-1.3118644,2.2724750,4.0374292,0.63000000
60,87,2.40,-512.,-1.3113333,2.2357560,3.9707533,0.63025000
61,111,2.40,-492.,-1.3100000,2.2065117,3.9067610,0.62991803
62,100,2.40,-484.,-1.3083871,2.1819428,3.8503391,0.62911290
63,103,2.40,-468.,-1.3061905,2.1680837,3.8231249,0.62730159
64,104,2.40,-460.,-1.3037500,2.1602646,3.8485828,0.62445313
65,117,2.40,-452.,-1.3010769,2.1587868,3.9054831,0.62115385
66,112,2.40,-476.,-1.2993939,2.1388632,3.9571939,0.61795455
67,114,2.40,-464.,-1.2973134,2.1267789,4.1948112,0.61276119
68,130,2.40,-424.,-1.2938235,2.1521709,4.2639587,0.60933824
69,129,2.40,-476.,-1.2923188,2.1316715,4.2920656,0.60652174
70,124,2.40,-428.,-1.2891429,2.1495520,4.4302048,0.60235714
71,118,2.40,-416.,-1.2856338,2.1791337,4.6312039,0.59760563
72,151,2.40,-396.,-1.2815278,2.2319944,4.7303496,0.59388889
73,144,2.40,-404.,-1.2778082,2.2705947,4.8600423,0.58986301
74,138,2.40,-400.,-1.2740541,2.3113585,5.0663256,0.58513514
75,136,2.40,-432.,-1.2714667,2.3149430,5.1529065,0.58160000
76,156,2.40,-388.,-1.2675000,2.3664335,5.3089333,0.57736842
77,146,2.40,-416.,-1.2645455,2.3817721,5.5605609,0.57233766
78,141,2.40,-424.,-1.2619231,2.3880087,5.7586160,0.56775641
79,142,2.40,-384.,-1.2581013,2.4368978,5.9304369,0.56341772
80,134,2.40,-416.,-1.2553750,2.4472123,6.0919210,0.55918750
81,157,2.40,-444.,-1.2535802,2.4348950,6.3405462,0.55425926
82,115,2.40,-420.,-1.2510976,2.4398721,6.5520100,0.54963415
83,131,2.40,-420.,-1.2486747,2.4439039,6.7899039,0.54481928
84,122,2.40,-432.,-1.2466667,2.4380510,6.9033798,0.54107143
85,150,2.40,-432.,-1.2447059,2.4317953,6.9084911,0.53858824
86,116,2.40,-492.,-1.2445349,2.4036912,6.8826007,0.53662791
87,112,2.40,-488.,-1.2442529,2.3765375,6.8625685,0.53459770
88,127,2.40,-484.,-1.2438636,2.3504468,6.8070756,0.53335227
89,107,2.40,-468.,-1.2430337,2.3282465,6.7741360,0.53162921
90,125,2.40,-444.,-1.2415556,2.3158812,6.7159668,0.53055556
91,99,2.40,-488.,-1.2413187,2.2907826,6.6604806,0.52945055
92,120,2.40,-512.,-1.2417391,2.2669999,6.6457878,0.52750000
93,119,2.40,-480.,-1.2412903,2.2439105,6.6701610,0.52500000
94,118,2.40,-464.,-1.2404255,2.2248690,6.6841045,0.52265957
95,119,2.40,-460.,-1.2394737,2.2073636,6.6654956,0.52084211
96,118,2.40,-436.,-1.2379167,2.2003639,6.6254754,0.51947917
97,116,2.40,-460.,-1.2370103,2.1831563,6.5739998,0.51845361
98,109,2.40,-476.,-1.2365306,2.1624293,6.5368980,0.51709184
99,106,2.40,-484.,-1.2362626,2.1410753,6.4820994,0.51626263
101,98,2.40,-544.,-1.2382178,2.1126781,6.4553089,0.51287129
201,120,2.40,-508.,-1.2581095,1.3791740,4.7878598,0.52442786
301,123,2.40,-496.,-1.2509635,1.2111065,4.8383767,0.52277409
401,95,2.40,-556.,-1.2349377,1.1494914,5.6135971,0.49038653
501,109,2.40,-548.,-1.2556088,1.1973745,5.6559489,0.52528942
601,89,2.40,-600.,-1.2619634,1.1890925,5.0073313,0.53380200
701,97,2.40,-504.,-1.2792582,1.3569913,5.1343328,0.55663338
801,122,2.40,-488.,-1.2817978,1.3657763,4.9460078,0.56772784
901,141,2.40,-436.,-1.2693230,1.4300997,6.8575601,0.53423418
1001,116,2.40,-472.,-1.2692807,1.4630287,6.5838996,0.54217782
1101,66,2.40,-600.,-1.2759128,1.4589014,6.3548975,0.55369664
1201,135,2.40,-440.,-1.2783097,1.4281425,6.0320454,0.56041216
1301,148,2.40,-404.,-1.2711530,1.4247731,6.9414494,0.53901230
1401,97,2.40,-496.,-1.2622769,1.4288918,7.4926801,0.51980371
1501,132,2.40,-416.,-1.2591672,1.3920191,7.1297601,0.51905063
1601,69,2.40,-616.,-1.2691818,1.4958284,7.3321333,0.53304809
1701,94,2.40,-572.,-1.2722928,1.4786178,7.1389165,0.54050852
1801,106,2.40,-588.,-1.2806441,1.5631227,7.1808094,0.55094114
1901,78,2.40,-528.,-1.2835876,1.5287688,6.9976719,0.55800368
2001,116,2.40,-500.,-1.2832984,1.5063034,7.2715526,0.55540980
2101,122,2.40,-460.,-1.2765207,1.5230533,8.3405846,0.53552832
2201,108,2.40,-528.,-1.2684689,1.5880640,8.7161803,0.52384371
2301,63,2.40,-616.,-1.2711386,1.5880116,8.5749065,0.52918296
2401,124,2.40,-480.,-1.2717576,1.5846921,8.3790532,0.53256768
2501,100,2.40,-504.,-1.2736665,1.5805365,8.1986266,0.53684126
2601,105,2.40,-500.,-1.2740677,1.5501986,7.9906754,0.54063245
2701,107,2.40,-464.,-1.2738060,1.5122966,7.7807799,0.54111810
2801,151,2.40,-384.,-1.2700928,1.5136303,7.9647140,0.53331667
2901,119,2.40,-512.,-1.2664323,1.5115949,8.0759210,0.52571010
3001,101,2.40,-520.,-1.2624725,1.5117842,8.5074955,0.51589970
3101,109,2.40,-492.,-1.2597194,1.5079108,8.4986026,0.50973396
3201,107,2.40,-552.,-1.2580037,1.4945446,8.4315295,0.50562168
3301,102,2.40,-492.,-1.2561678,1.4854593,8.2937031,0.50225992
3401,102,2.40,-500.,-1.2533755,1.4864183,8.1913777,0.50055278
3501,110,2.40,-500.,-1.2547444,1.4748383,8.0797990,0.50312482
3601,128,2.40,-476.,-1.2570814,1.4869330,8.0296762,0.50756457
3701,95,2.40,-508.,-1.2587571,1.4700471,7.8964270,0.51050932
3801,143,2.40,-416.,-1.2563773,1.4599888,7.8627792,0.50642331
3901,106,2.40,-452.,-1.2537119,1.4585762,8.1698559,0.49790054
4001,111,2.40,-480.,-1.2532017,1.4470042,8.0218687,0.49773432
4101,93,2.40,-484.,-1.2520532,1.4453810,7.9823807,0.49727140
4201,125,2.40,-384.,-1.2506332,1.4358835,8.0097631,0.49425970
4301,83,2.40,-572.,-1.2512997,1.4344892,8.0218812,0.49489189
4401,98,2.40,-536.,-1.2512293,1.4295968,7.9414784,0.49635992
4501,117,2.40,-428.,-1.2505021,1.4293222,7.9475859,0.49531104
4601,109,2.40,-472.,-1.2482265,1.4242574,7.9585284,0.49160183
4701,111,2.40,-572.,-1.2480260,1.4207360,8.0253295,0.49012444
4801,68,2.40,-576.,-1.2530910,1.4957926,8.1942636,0.49653822
4901,114,2.40,-476.,-1.2526097,1.4898591,8.1595710,0.49728423
5001,103,2.40,-504.,-1.2502460,1.4954563,8.1937461,0.49357229
5101,127,2.40,-488.,-1.2497040,1.4871736,8.1340806,0.49326701
5201,140,2.40,-448.,-1.2489002,1.4719512,8.1042763,0.49153432
5301,123,2.40,-472.,-1.2482909,1.4646360,8.0918554,0.49101962
5401,98,2.40,-528.,-1.2480892,1.4492284,8.0434745,0.48984540
5501,124,2.40,-416.,-1.2492747,1.4588786,8.0334949,0.49265861
5601,112,2.40,-484.,-1.2472219,1.4607853,8.1440925,0.48813694
5701,95,2.40,-512.,-1.2481231,1.4601155,8.1418151,0.48854236
5801,139,2.40,-484.,-1.2483158,1.4546323,8.1656735,0.48790726
5901,103,2.40,-528.,-1.2477817,1.4553684,8.1294510,0.48797407
6001,65,2.40,-588.,-1.2502133,1.4692958,8.1765281,0.49212965
6101,145,2.40,-400.,-1.2491378,1.4655527,8.1801804,0.48979512
6201,114,2.40,-488.,-1.2477520,1.4644149,8.2571008,0.48592404
6301,105,2.40,-504.,-1.2488891,1.4581637,8.2069812,0.48787573
6401,94,2.40,-580.,-1.2501531,1.4614453,8.1881901,0.49067099
6501,80,2.40,-540.,-1.2519674,1.4880160,8.2278724,0.49381711
6601,123,2.40,-416.,-1.2515240,1.4856551,8.2627823,0.49293289
6701,65,2.40,-628.,-1.2528563,1.4842573,8.2056443,0.49446351
6801,92,2.40,-580.,-1.2548361,1.5020200,8.2447673,0.49798780
6901,100,2.40,-524.,-1.2569700,1.5189217,8.2658427,0.50115491
7001,65,2.40,-636.,-1.2587473,1.5219066,8.2713332,0.50422868
7101,96,2.40,-504.,-1.2602746,1.5307249,8.2687611,0.50700606
7201,143,2.40,-424.,-1.2610832,1.5331873,8.2759718,0.50844674
7301,128,2.40,-448.,-1.2594097,1.5368513,8.3205608,0.50585810
7401,116,2.40,-504.,-1.2576665,1.5415633,8.4367783,0.50194095
7501,108,2.40,-516.,-1.2561965,1.5390482,8.5972556,0.49756432
7601,116,2.40,-508.,-1.2566281,1.5334191,8.5360567,0.49858440
7701,89,2.40,-492.,-1.2562836,1.5257184,8.4974402,0.49801519
7801,108,2.40,-456.,-1.2552942,1.5274283,8.4518059,0.49713947
7901,80,2.40,-580.,-1.2548829,1.5199342,8.3673718,0.49730857
8001,78,2.40,-584.,-1.2555981,1.5150741,8.3322415,0.49911449
8101,118,2.40,-448.,-1.2556635,1.5095971,8.2749574,0.50002592
8201,127,2.40,-476.,-1.2547665,1.5050702,8.3585293,0.49660651
8301,93,2.40,-516.,-1.2559101,1.5096661,8.3497151,0.49825262
8401,131,2.40,-432.,-1.2546840,1.5112600,8.3483518,0.49610404
8501,116,2.40,-468.,-1.2530879,1.5189261,8.3956423,0.49355605
8601,82,2.40,-520.,-1.2534973,1.5091494,8.3540622,0.49511917
8701,87,2.40,-584.,-1.2537306,1.4997038,8.2860555,0.49523216
8801,72,2.40,-556.,-1.2540609,1.4889063,8.2183103,0.49607204
8901,94,2.40,-524.,-1.2540389,1.4805132,8.1690518,0.49582800
