Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
1,250,2.40,-300.,-0.75000000,0.0000000,0.0000000,0.085000000
2,153,2.40,-292.,-0.74000000,0.0069444439,0.026041666,0.097500000
3,171,2.40,-352.,-0.78666667,0.30709874,0.52870368,0.13666667
4,153,2.40,-356.,-0.81250000,0.36935761,0.95208330,0.17000000
5,136,2.40,-400.,-0.85000000,0.68611106,0.77233330,0.16600000
6,145,2.40,-444.,-0.89333333,1.2237653,0.64548609,0.16750000
7,142,2.40,-364.,-0.89571429,1.0513038,0.81156459,0.15142857
8,130,2.40,-400.,-0.90875000,1.0024956,1.0014974,0.13562500
9,145,2.40,-404.,-0.92000000,0.96141968,0.90102877,0.13277778
10,137,2.40,-416.,-0.93200000,0.95527770,0.88916663,0.14000000
11,133,2.40,-424.,-0.94363636,0.96246549,0.87582641,0.14636364
12,127,2.40,-460.,-0.96083333,1.1081693,0.90286455,0.15375000
13,129,2.40,-408.,-0.96538462,1.0401873,1.2439349,0.16807692
14,126,2.40,-416.,-0.97071429,0.99153195,1.5622661,0.18178571
15,142,2.40,-432.,-0.97800000,0.97703696,1.8254814,0.19433333
16,138,2.40,-404.,-0.98000000,0.92013882,1.9794107,0.20468750
17,133,2.40,-440.,-0.98705882,0.92137632,2.2332179,0.21647059
18,132,2.40,-452.,-0.99500000,0.94463727,2.2769675,0.22416667
19,115,2.40,-452.,-1.0021053,0.95802547,2.2686287,0.23026316
20,138,2.40,-444.,-1.0075000,0.94852423,2.6101978,0.24225000
21,122,2.40,-444.,-1.0123810,0.93644487,2.9131518,0.25357143
22,122,2.40,-484.,-1.0213636,1.0115501,3.4597537,0.26750000
23,101,2.40,-500.,-1.0313043,1.1185412,3.8430843,0.27956522
24,108,2.40,-492.,-1.0395833,1.1814115,4.1171801,0.29020833
25,92,2.40,-484.,-1.0464000,1.2115999,4.3053065,0.29960000
26,109,2.40,-532.,-1.0573077,1.3715585,4.5261833,0.30923077
27,95,2.40,-556.,-1.0696296,1.5948978,4.6102307,0.31685185
28,103,2.40,-496.,-1.0757143,1.6073553,4.6381110,0.32339286
29,98,2.40,-520.,-1.0834483,1.6682354,4.6714029,0.32982759
30,100,2.40,-492.,-1.0883333,1.6606866,4.5808748,0.33350000
