Cycle,Temperature,MeanEnergy,Magnetization_Abs,HeatCapacity,MagneticSusceptibility
1000000,2,-1.74545,0.910262,0.771266,2.509
1000000,2.04,-1.71379,0.888077,0.978902,20.417
1000000,2.08,-1.68058,0.878694,0.933975,1.51057
1000000,2.12,-1.64224,0.856585,1.05166,1.95372
1000000,2.16,-1.59815,0.827153,1.20654,2.64342
1000000,2.2,-1.54621,0.783089,1.45261,7.08231
1000000,2.24,-1.48367,0.711884,1.79644,18.4914
1000000,2.28,-1.39708,0.518818,2.39462,90.2003
1000000,2.32,-1.31256,0.278815,1.73465,80.29
1000000,2.36,-1.25178,0.167118,1.30088,38.9986
1000000,2.4,-1.20411,0.126283,1.12239,22.7067
1000000,2.44,-1.16189,0.101829,0.999671,14.7962
1000000,2.48,-1.12361,0.0850231,0.897798,10.2898
1000000,2.52,-1.08917,0.0734317,0.825374,7.74863
