Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
1,36,2.40,-696.,-1.7400000,0.0000000,0.0000000,0.92000000
101,104,2.40,-488.,-1.3145545,1.8950115,6.0806700,0.61316832
201,63,2.40,-560.,-1.2992040,1.4092981,4.6293520,0.58363184
301,96,2.40,-596.,-1.3246512,1.2294869,4.2311574,0.63596346
401,132,2.40,-408.,-1.2919202,1.4793954,9.2785484,0.55195761
501,119,2.40,-468.,-1.2660878,1.5177882,11.935903,0.47355289
601,129,2.40,-436.,-1.2516972,1.4550134,12.784198,0.43431780
701,120,2.40,-448.,-1.2440228,1.3991574,12.422217,0.41348787
801,93,2.40,-532.,-1.2505368,1.4072399,12.082876,0.43255306
901,121,2.40,-436.,-1.2491010,1.4379833,11.494057,0.43740289
1001,83,2.40,-492.,-1.2414785,1.3916785,10.623302,0.43317183
1101,144,2.40,-380.,-1.2337057,1.3699717,10.240587,0.42017257
1201,88,2.40,-540.,-1.2343297,1.4043438,9.9396005,0.42578268
1301,108,2.40,-556.,-1.2341968,1.3803422,9.5965259,0.43676787
1401,125,2.40,-500.,-1.2359672,1.3549802,9.3420942,0.44807281
1501,123,2.40,-428.,-1.2313724,1.3338039,9.1057237,0.44235843
1601,141,2.40,-416.,-1.2271330,1.3256705,9.0209597,0.43149594
1701,132,2.40,-464.,-1.2227337,1.2989984,9.3600593,0.41469724
1801,88,2.40,-560.,-1.2325153,1.3805179,9.7951451,0.43258745
1901,92,2.40,-456.,-1.2355655,1.3599682,9.6936005,0.44239874
2001,152,2.40,-424.,-1.2279710,1.4234605,9.5753345,0.43451024
2101,116,2.40,-520.,-1.2248786,1.4204509,9.6720467,0.42842694
2201,65,2.40,-588.,-1.2346297,1.5503849,10.100723,0.44355520
2301,89,2.40,-540.,-1.2364450,1.5256868,9.9609848,0.45155150
2401,80,2.40,-576.,-1.2385506,1.5124645,9.7749051,0.45701374
2501,106,2.40,-468.,-1.2435906,1.5345737,9.8052533,0.46591363
2601,121,2.40,-504.,-1.2464360,1.5286070,9.6227354,0.47155133
2701,106,2.40,-500.,-1.2500148,1.5446644,9.6041965,0.47846538
2801,116,2.40,-488.,-1.2493824,1.5130020,9.3547306,0.47629061
2901,117,2.40,-476.,-1.2453499,1.5196667,9.5275971,0.46824716
3001,154,2.40,-384.,-1.2404465,1.5513717,9.7681346,0.45808231
3101,146,2.40,-424.,-1.2350919,1.5770740,10.084180,0.44726217
3201,136,2.40,-408.,-1.2321150,1.5725940,10.098003,0.44018119
3301,109,2.40,-408.,-1.2276159,1.5916332,10.207732,0.43181763
3401,119,2.40,-464.,-1.2250162,1.5758604,10.162139,0.42591150
3501,123,2.40,-468.,-1.2231848,1.5553013,9.9335739,0.42384890
3601,87,2.40,-520.,-1.2229242,1.5362959,9.7545571,0.42504304
3701,124,2.40,-480.,-1.2271386,1.5568126,9.8607058,0.43260200
3801,137,2.40,-380.,-1.2280058,1.5704397,9.8832826,0.43469745
3901,101,2.40,-536.,-1.2286798,1.5592600,9.7400090,0.43673673
4001,124,2.40,-512.,-1.2293852,1.5399463,9.5961171,0.43963634
4101,120,2.40,-456.,-1.2263911,1.5453138,9.6661731,0.43347110
4201,92,2.40,-504.,-1.2267246,1.5336349,9.4888769,0.43428707
4301,115,2.40,-464.,-1.2280958,1.5230937,9.4039429,0.43779354
4401,111,2.40,-496.,-1.2275596,1.5027958,9.2496667,0.43662122
4501,163,2.40,-360.,-1.2255054,1.5039554,9.1825774,0.43391691
4601,128,2.40,-436.,-1.2224212,1.5212879,9.3253594,0.42757444
4701,112,2.40,-456.,-1.2203425,1.5229257,9.2859006,0.42447352
4801,131,2.40,-440.,-1.2182254,1.5207982,9.3699051,0.41880754
4901,82,2.40,-536.,-1.2183024,1.5059436,9.2680107,0.42013773
5001,100,2.40,-444.,-1.2181224,1.4935632,9.1778489,0.41956909
5101,96,2.40,-524.,-1.2164634,1.4916573,9.2710922,0.41415507
5201,160,2.40,-440.,-1.2156931,1.4798559,9.2743098,0.40997981
5301,128,2.40,-436.,-1.2138936,1.4756601,9.2229470,0.40664026
5401,131,2.40,-448.,-1.2135530,1.4602094,9.2033966,0.40335771
5501,113,2.40,-440.,-1.2148355,1.4633648,9.2104950,0.40618797
5601,63,2.40,-624.,-1.2161043,1.4630397,9.1860067,0.40961703
5701,88,2.40,-496.,-1.2190160,1.4827195,9.3110284,0.41500175
5801,122,2.40,-492.,-1.2184658,1.4703755,9.3197933,0.41255646
5901,72,2.40,-600.,-1.2182173,1.4693229,9.2636376,0.41208524
6001,96,2.40,-500.,-1.2211931,1.4943881,9.4046596,0.41744293
6101,126,2.40,-444.,-1.2198705,1.4906958,9.3903898,0.41645140
6201,128,2.40,-512.,-1.2189018,1.4845479,9.4093080,0.41402274
6301,106,2.40,-512.,-1.2183146,1.4782738,9.3414292,0.41350341
6401,139,2.40,-420.,-1.2172692,1.4788754,9.3803319,0.41085768
6501,123,2.40,-416.,-1.2166405,1.4686460,9.3364774,0.40984925
6601,109,2.40,-512.,-1.2180912,1.4666626,9.3121106,0.41275792
6701,65,2.40,-596.,-1.2200478,1.4740210,9.3631837,0.41665348
6801,130,2.40,-436.,-1.2188046,1.4858126,9.4123716,0.41568299
6901,97,2.40,-528.,-1.2191784,1.4791921,9.4190823,0.41467831
7001,132,2.40,-428.,-1.2196843,1.4835796,9.4613739,0.41554278
7101,108,2.40,-468.,-1.2181284,1.4836449,9.5261227,0.41174201
7201,135,2.40,-488.,-1.2175628,1.4723815,9.4260976,0.41112484
7301,100,2.40,-516.,-1.2183865,1.4669069,9.4026466,0.41334201
7401,88,2.40,-548.,-1.2193406,1.4795464,9.4366082,0.41531550
7501,135,2.40,-424.,-1.2190575,1.4852226,9.4629620,0.41453939
7601,105,2.40,-484.,-1.2182897,1.4830610,9.4189479,0.41247862
7701,106,2.40,-480.,-1.2179431,1.4735190,9.3946799,0.40998831
7801,116,2.40,-500.,-1.2168504,1.4714682,9.3157357,0.40977887
7901,113,2.40,-468.,-1.2186090,1.4854783,9.3829326,0.41333122
8001,124,2.40,-448.,-1.2184264,1.4756061,9.3661036,0.41318648
8101,128,2.40,-468.,-1.2180064,1.4678185,9.3176346,0.41164177
8201,133,2.40,-464.,-1.2175991,1.4589499,9.2570465,0.41175466
8301,78,2.40,-544.,-1.2179496,1.4614813,9.2293359,0.41306590
8401,85,2.40,-508.,-1.2187704,1.4556434,9.2117252,0.41538388
8501,103,2.40,-496.,-1.2197906,1.4492022,9.1901264,0.41762204
8601,110,2.40,-492.,-1.2200872,1.4446836,9.1340937,0.41878037
8701,105,2.40,-492.,-1.2205942,1.4378106,9.1028247,0.42046604
8801,94,2.40,-556.,-1.2196523,1.4410367,9.0678263,0.41970912
8901,93,2.40,-548.,-1.2211886,1.4520669,9.1042123,0.42249579
9001,117,2.40,-436.,-1.2203722,1.4494889,9.1721078,0.41978225
9101,111,2.40,-496.,-1.2202802,1.4464449,9.1015639,0.42019833
9201,131,2.40,-484.,-1.2206869,1.4465883,9.0806108,0.42149549
9301,124,2.40,-468.,-1.2202290,1.4407202,9.0318771,0.42078432
9401,102,2.40,-496.,-1.2196117,1.4422230,9.0732719,0.41869003
9501,155,2.40,-428.,-1.2195211,1.4372910,9.0359112,0.41830492
9601,122,2.40,-464.,-1.2183658,1.4362613,9.1124514,0.41515363
9701,101,2.40,-436.,-1.2173745,1.4366948,9.1740784,0.41213380
9801,86,2.40,-540.,-1.2177033,1.4291086,9.1266440,0.41271605
9901,129,2.40,-484.,-1.2173306,1.4225705,9.1588475,0.41021462
10001,137,2.40,-500.,-1.2160664,1.4274561,9.1554863,0.40817618
10101,55,2.40,-628.,-1.2162093,1.4314750,9.1733239,0.40880259
10201,87,2.40,-476.,-1.2173052,1.4420223,9.2072923,0.41116067
10301,97,2.40,-464.,-1.2177895,1.4464747,9.2133030,0.41308756
10401,143,2.40,-448.,-1.2178473,1.4408529,9.1784206,0.41284203
10501,132,2.40,-440.,-1.2169784,1.4389305,9.1273705,0.41278497
10601,97,2.40,-516.,-1.2174399,1.4361505,9.1266903,0.41341996
10701,140,2.40,-404.,-1.2170760,1.4307813,9.0955485,0.41276002
10801,71,2.40,-596.,-1.2176104,1.4301994,9.0732125,0.41398991
