Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
1,241,2.40,-228.,-0.57000000,0.0000000,0.0000000,0.050000000
101,110,2.40,-508.,-1.2218812,2.3925621,7.6641789,0.46188119
201,83,2.40,-540.,-1.2724876,1.9324750,6.1843828,0.55101990
301,117,2.40,-444.,-1.2546844,1.5916146,5.5116591,0.52131229
401,105,2.40,-592.,-1.2572569,1.5183884,5.1824660,0.52664589
501,120,2.40,-444.,-1.2362675,1.4689398,5.0255150,0.49522954
601,110,2.40,-536.,-1.2418469,1.3934240,4.7234874,0.50762895
701,78,2.40,-600.,-1.2659486,1.5031397,5.2945249,0.54195435
801,122,2.40,-484.,-1.2662422,1.4294274,5.2497093,0.53699750
901,92,2.40,-572.,-1.2690566,1.3494957,4.9079876,0.53637070
1001,138,2.40,-376.,-1.2696204,1.2998983,4.8346697,0.54026973
1101,142,2.40,-468.,-1.2603451,1.3593493,5.0314350,0.52975931
1201,123,2.40,-480.,-1.2683347,1.4113625,5.1360968,0.54231474
1301,149,2.40,-416.,-1.2640046,1.3769234,5.0244642,0.53338201
1401,135,2.40,-424.,-1.2571449,1.3703197,5.7164668,0.51648822
1501,122,2.40,-440.,-1.2509394,1.3962346,5.9342325,0.50499334
1601,108,2.40,-476.,-1.2452530,1.4374054,6.2188176,0.49711118
1701,147,2.40,-436.,-1.2407231,1.4549125,6.4606701,0.48938272
1801,115,2.40,-492.,-1.2420211,1.4476310,6.6001141,0.49008884
1901,107,2.40,-536.,-1.2403893,1.4207182,6.4038414,0.48913204
2001,150,2.40,-448.,-1.2445577,1.4542670,6.5060167,0.49418291
2101,87,2.40,-540.,-1.2431985,1.4332230,6.4862085,0.49202047
2201,123,2.40,-440.,-1.2380600,1.4461171,6.6140495,0.48398682
2301,122,2.40,-452.,-1.2329900,1.4542900,6.5907182,0.47692090
2401,92,2.40,-552.,-1.2354269,1.4725168,6.6007848,0.47968347
2501,95,2.40,-552.,-1.2384526,1.4640951,6.5627839,0.48619752
2601,86,2.40,-564.,-1.2387274,1.4331583,6.3955746,0.48832372
2701,114,2.40,-440.,-1.2400148,1.4120438,6.3173991,0.49280822
